Application_ID,Application_Date,Branch_Region,Gender,Marital_Status,Dependents,Education,Employment_Type,Loan_Purpose,Monthly_Income_NGN,Coapplicant_Income_NGN,Loan_Amount_NGN,Loan_Term_Months,Credit_History,Loan_Status
AJB2811,24/06/2026,Lagos,Male,Single,0,Graduate,Salaried,Purchase,319600,54900,,120.0,1.0,Approved
AJB2647,2025-04-07,Rural North,Male,Married,2,Graduate,Salaried,Purchase,241200,70800,2872000.0,360.0,1.0,Approved
AJB2529,28/05/2025,Kano,Female,Single,0,Graduate,Salaried,Construction,342700,0,6427000.0,240.0,1.0,Approved
AJB2506,05/12/2025,Port Harcourt,Female,Married,1,Graduate,Self-Employed,Renovation,176500,138000,2157000.0,60.0,1.0,Approved
AJB2831,2026-01-31,abuja,Male,Married,1,Graduate,Salaried,Purchase,160800,134800,2977000.0,120.0,0.0,Approved
AJB2709,2025-10-07,Lagos,Male,Married,0,Graduate,Salaried,Purchase,249600,102200,5461000.0,24.0,1.0,Approved
AJB2511,2025-05-02,Abuja,Female,Single,0,Not Graduate,Self-Employed,Land Acquisition,250600,0,2212000.0,360.0,1.0,Approved
AJB2816,30-Apr-2026,Lagos,Male,Married,0,Graduate,Salaried,Renovation,188400,98600,2331000.0,180.0,1.0,Approved
AJB2516,03-Oct-2025,Lagos,Male,Y,3+,Graduate,Salaried,Purchase,295500,0,5987000.0,60.0,1.0,Approved
AJB2666,12/07/2025,Rural North,Female,Single,3+,Graduate,Self-Employed,Purchase,1201000,0,20000000.0,240.0,1.0,Approved
AJB2619,22/07/2025,lagos,Male,Single,1,Not Graduate,Self-Employed,Purchase,542700,0,7105000.0,60.0,1.0,Approved
AJB2772,04/05/2025,Ibadan,Male,Single,0,Graduate,Self-Employed,Purchase,65700,45200,1721000.0,24.0,0.0,Approved
AJB2782,2025-07-10,Abuja, Male,Married,3+,Graduate,Salaried,Purchase,134200,112200,2832000.0,12.0,1.0,Approved
AJB2515,2026-01-08,Port Harcourt,Male,married,3+,Graduate,Salaried,Purchase,228000,88000,5854000.0,60.0,1.0,Approved
AJB2861,2025-05-25,Lagos,Male,Married,1,Graduate,Salaried,Land Acquisition,261400,27000,2672000.0,180.0,1.0,Approved
AJB2671,2025-07-04,Lagos,Male,Single ,0,Not Graduate,self-employed,Renovation,172100,0,809000.0,180.0,,Approved
AJB2727,2026-03-30,Lagos,Male,Married,0,Graduate,Salaried,Purchase,108000,143500,4815000.0,240.0,1.0,Approved
AJB2819,2025-02-20,Rural North,Female,Single,3+,Graduate,Self-Employed,Renovation,130800,0,910000.0,240.0,1.0,Approved
AJB2556,10/04/2026,Rural North,Male,Single,2,Not Graduate,Salaried,Renovation,297000,0,1921000.0,60.0,,Approved
AJB2512,10-Jan-2025,Lagos,Male,Married,3+,Graduate,Self-Employed,Renovation,254900,56500,1105000.0,120.0,1.0,Approved
AJB2543,02/05/2025,Rural North,Male,Married,0,Graduate,Salaried,Renovation,173700,158000,2893000.0,36.0,1.0,Approved
AJB2686,2025-06-15,Rural North,Male,Married,0,Graduate,Salaried,Purchase,172700,0,2943000.0,36.0,1.0,Approved
AJB2603,2025-05-21,Rural North,Female,Married,1,Graduate,salaried,Construction,296700,0,5384000.0,240.0,,Approved
AJB2775,28-Aug-2025,Lagos ,Male,Married,,Graduate,Self-Employed,Renovation,180400,79700,993000.0,60.0,1.0,Approved
AJB2629,2026-04-19,Lagos,Male,Married,2,Graduate,Salaried,Renovation,327100,86100,3239000.0,120.0,1.0,Approved
AJB2612,18/02/2025,Lagos,Male,Y,3+,Graduate,Self-Employed,Purchase,413400,88700,9311000.0,120.0,1.0,Approved
AJB2544,28-Mar-2025,Rural North,Female,Married,0,Graduate,Salaried,Renovation,255100,63300,1694000.0,180.0,,Approved
AJB2822,25/10/2025,Abuja,Male,Married,2,Not Graduate,SALARIED,Purchase,302500,109300,5392000.0,36.0,1.0,Rejected
AJB2780,2025-01-08,Abuja,,Married,0,Graduate,Salaried,Construction,246500,91400,4860000.0,60.0,1.0,Approved
AJB2866,2025-05-15,Lagos,Female,Married,2,Graduate, Self-Employed,Renovation,240100,0,1517000.0,180.0,,Approved
AJB2627,2025-11-09,Abuja ,Male,Single,2,Graduate,,Land Acquisition,273000,0,2292000.0,120.0,1.0,Approved
AJB2706,25/03/2025,Ibadan,Male,Single,3+,Not Graduate,,Renovation,210800,0,994000.0,360.0,1.0,Approved
AJB2759,2025-11-29,Abuja,Male,Married,2,Graduate,SALARIED,Purchase,383200,0,3192000.0,180.0,1.0,Approved
AJB2848,2025-03-31,Lagos,Male,Single,1,Graduate,Salaried,Renovation,138700,0,673000.0,120.0,1.0,Rejected
AJB2658,2026-02-13,Abuja,Female,Married,1,Graduate,Self-Employed,Renovation,280200,72300,1771000.0,360.0,1.0,Approved
AJB2741,2025-05-05,Lagos,Female,Single,1,Graduate,Salaried,Construction,381000,0,2868000.0,120.0,1.0,Approved
AJB2894,2025-09-22,Kano,Male,Married,2,Not Graduate,Salaried,Construction,223600,52700,2237000.0,12.0,0.0,Rejected
AJB2614,21/12/2025,Lagos,Male,Married,3+,Graduate,Salaried,Purchase,315800,51500,6286000.0,240.0,1.0,Approved
AJB2731,28/03/2025,Kano,Male,Single,2,Graduate,Self-Employed,Renovation,235300,0,1586000.0,180.0,1.0,Approved
AJB2553,2026-04-07,Rural North,Male,Married,3+,Graduate,Salaried,Construction,212400,0,3838000.0,180.0,1.0,Approved
AJB2548,15-Jan-2026,Lagos,Female ,Married,,Not Graduate,,Renovation,128100,119800,1564000.0,36.0,1.0,Approved
AJB2781,03/06/2026,Lagos,Male,Married,3+,Graduate,Salaried,Construction,76900,102000,2288000.0,180.0,1.0,Approved
AJB2583,2026-02-13,lagos,Male,Married,0,Graduate,SALARIED,Purchase,240900,158900,8033000.0,24.0,1.0,Approved
AJB2707,2026-05-14,port harcourt,Male,Married,0,Graduate,salaried,Purchase,235900,98100,6537000.0,360.0,,Rejected
AJB2520,16/07/2025,Kano,Female,Single,0,Graduate,Salaried,Purchase,272500,0,2920000.0,240.0,0.0,Rejected
AJB2818,06-Aug-2025,Port Harcourt,Male,Single,,Graduate,SALARIED,Purchase,189100,0,2394000.0,24.0,0.0,Approved
AJB2690,2025-09-28,Lagos,Female,Single,1,Not Graduate,Self-Employed,Construction,151700,83600,3476000.0,240.0,1.0,Approved
AJB2561,2026-04-13,Lagos,male,Married,2,Graduate,Salaried,Construction,175000,48600,3171000.0,240.0,1.0,Approved
AJB2884,2025-11-25,Lagos,Male,Single,0,Graduate,Salaried,Purchase,268100,0,4452000.0,360.0,,Rejected
AJB2650,2025-04-21,Kano,Female,Married,1,Not Graduate,Salaried,Renovation,192200,134300,2746000.0,180.0,1.0,Rejected
AJB2875,13-Dec-2025,Lagos ,Male,Single,2,Graduate,Salaried,Purchase,274600,0,4608000.0,36.0,,Approved
AJB2522,02-Mar-2025,Lagos,Female,Married,0,Not Graduate,Self-Employed,Construction,213600,87400,4386000.0,12.0,1.0,Rejected
AJB2779,2026-06-08,Kano,Female,Married,0,Graduate,salaried,Purchase,294000,0,2951000.0,360.0,1.0,Rejected
AJB2547,2026-01-22,Port Harcourt,Male,Married,1,Graduate,Self-Employed,Renovation,103500,79800,1392000.0,24.0,1.0,Approved
AJB2882,2025-12-24,Lagos,Female,Married,0,Graduate,Self-Employed,Renovation,147300,91700,1182000.0,360.0,1.0,Rejected
AJB2681,15-Feb-2025,Rural North,Female,Married,2,Graduate, Self-Employed,Construction,336300,112300,5405000.0,240.0,1.0,Approved
AJB2893,22-May-2025,Lagos,Female,Married,3+,Graduate,Salaried,Land Acquisition,173100,94700,2232000.0,36.0,1.0,Rejected
AJB2888,2025-12-17,Ibadan,Male,Single,0,Graduate,Self-Employed,Land Acquisition,271500,0,3056000.0,24.0,1.0,Approved
AJB2784,2026-05-27,Lagos,Male,Single,,Graduate,Salaried,Purchase,248100,0,4324000.0,120.0,1.0,Rejected
AJB2855,11-Aug-2025,Ibadan,,Married,0,Not Graduate,SELF-EMPLOYED,Construction,250900,157700,5876000.0,0.0,1.0,Rejected
AJB2880,23-Jul-2025,Rural North,,Married,2,Not Graduate,Self-Employed,Purchase,221200,0,,360.0,1.0,Approved
AJB2551,28-Oct-2025,Lagos,Male,Single,0,Graduate,Salaried,Construction,188500,0,2146000.0,180.0,1.0,Approved
AJB2502,2026-02-08,Rural North,Female,Single ,3+,Not Graduate,Salaried,Construction,160300,0,1747000.0,240.0,1.0,Approved
AJB2508,09/03/2026,Lagos,Male,Married,1,Graduate,Salaried,Purchase,293200,92700,4176000.0,24.0,1.0,Approved
AJB2715,2025-01-20,LAGOS,FEMALE,Single,0,Not Graduate,Salaried,Renovation,45000,0,379000.0,12.0,0.0,Approved
AJB2776,2026-05-23,Port Harcourt,Male,Single,1,Graduate,Salaried,Renovation,289100,0,2514000.0,180.0,1.0,Approved
AJB2730,2026-03-10,Abuja,Male,Single,1,Not Graduate, Salaried,Purchase,362200,0,3388000.0,36.0,1.0,Approved
AJB2682,07-Jun-2025,Rural North,Male,MARRIED,2,Graduate,SALARIED,Purchase,169500,64300,3472000.0,240.0,1.0,Rejected
AJB2639,14-Nov-2025,Rural North,Male,Single,0,Graduate,Self Employed,Renovation,68800,0,304000.0,240.0,1.0,Approved
AJB2894,2025-09-22,Kano,Male,Married,2,Not Graduate,Salaried,Construction,223600,52700,2237000.0,12.0,0.0,Rejected
AJB2743,02/09/2025,Lagos,Male,Married,1,Graduate,Self-Employed,Construction,262700,60200,3750000.0,240.0,1.0,Approved
AJB2644,2025-01-06,Abuja,Male,Married,0,Not Graduate,Self-Employed,Renovation,161700,41400,865000.0,360.0,,Approved
AJB2566,18-Feb-2026,Port Harcourt,Male,Single,2,Graduate,Self-Employed,Construction,278200,34500,4742000.0,120.0,0.0,Rejected
AJB2790,05/07/2025,Rural North,Female,Married,0,Graduate,salaried,Land Acquisition,161100,0,1870000.0,12.0,1.0,Approved
AJB2744,2025-09-12,Abuja,Male,Single,0,Graduate,Salaried,Purchase,206300,40100,3234000.0,360.0,1.0,Approved
AJB2554,13-Jul-2025,Abuja,Female,Married,0,Graduate,Self-Employed,Renovation,230400,57800,2001000.0,360.0,,Approved
AJB2787,2026-02-09,Ibadan,Male,Single,2,Graduate,,Construction,220900,0,2443000.0,240.0,0.0,Approved
AJB2820,13/02/2025,Lagos,Female,Y,1,Graduate,Salaried,Renovation,173000,79300,1018000.0,120.0,1.0,Approved
AJB2764,2025-01-18,Kano,Female,Married,0,Graduate, Salaried,Renovation,357600,0,2398000.0,240.0,1.0,Approved
AJB2646,2026-02-26,Lagos,Male,Married,2,Graduate,Self-Employed,Land Acquisition,146200,0,1659000.0,240.0,1.0,Approved
AJB2845,2025-05-19,Lagos,Female,Married,0,Graduate, Self-Employed,Construction,451600,74500,8539000.0,240.0,1.0,Approved
AJB2688,19/02/2026,lagos,Female ,Y,0,Not Graduate,Self-Employed,Renovation,303100,61700,2837000.0,60.0,,Rejected
AJB2812,21/02/2026,Abuja ,Male,Single,1,Graduate,Self-Employed,Purchase,92100,0,820000.0,180.0,,Approved
AJB2507,2026-03-29,Lagos,Female,Single,0,Graduate, Salaried,Purchase,301200,0,4558000.0,180.0,,Approved
AJB2841,2025-01-06,Lagos,Female ,married,2,Graduate,Salaried,Construction,293400,46700,5441000.0,180.0,1.0,Approved
AJB2757,28/09/2025,Ibadan,male,Married,0,Graduate,Salaried,Renovation,166300,75300,,24.0,0.0,Approved
AJB2755,2025-11-07,Port Harcourt,Female,Married,1,Graduate,Self-Employed,Land Acquisition,123500,0,1485000.0,12.0,1.0,Approved
AJB2840,2025-06-14,Lagos,Male,married,0,Not Graduate,Salaried,Purchase,131900,39200,3170000.0,240.0,1.0,Approved
AJB2655,31/01/2026,Rural North,Male,MARRIED,3+,Graduate,Salaried,Construction,173600,89200,3328000.0,240.0,1.0,Approved
AJB2869,2025-08-20,Port Harcourt,Female,Single,0,Graduate,Salaried,Land Acquisition,229200,0,1926000.0,240.0,1.0,Approved
AJB2582,2026-01-11,Ibadan,Female,Married,3+,Graduate,SELF-EMPLOYED,Purchase,481600,117500,10112000.0,24.0,1.0,Approved
AJB2656,05/05/2026,Lagos,,Married,2,Graduate,Salaried,Purchase,173600,0,2389000.0,180.0,1.0,Rejected
AJB2651,2025-03-22,Lagos,Female,Married,0,Not Graduate,Salaried,Renovation,196700,0,1248000.0,240.0,,Approved
AJB2865,2025-05-28,Ibadan,,Married,2,Graduate,Salaried,Land Acquisition,293700,108000,3777000.0,24.0,1.0,Approved
AJB2609,28-Mar-2025,Lagos,Female,Married,0,Not Graduate,Salaried,Renovation,176500,0,1223000.0,360.0,0.0,Rejected
AJB2838,2025-10-22,Kano,Male,Married,0,Not Graduate,Salaried,Construction,219400,136300,5594000.0,120.0,0.0,Rejected
AJB2854,2025-06-12,Abuja,Male,Single,1,Graduate,Self-Employed,Construction,188100,45700,1711000.0,360.0,1.0,Approved
AJB2660,2025-07-03,Port Harcourt,Male,Married,1,Graduate,Salaried,Renovation,159600,0,547000.0,120.0,0.0,Approved
AJB2842,27/09/2025,Ibadan,Female,Single,2,Graduate,Salaried,Purchase,187400,0,,180.0,0.0,Rejected
AJB2607,04-Apr-2026,Rural North, Male,N,0,Graduate,Salaried,Land Acquisition,146800,42400,2058000.0,36.0,,Rejected
AJB2878,20-Jul-2025,Lagos,Male,Single ,0,Not Graduate,Self-Employed,Purchase,280800,0,5531000.0,240.0,1.0,Approved
AJB2620,07-May-2025,Lagos,Male,Single,0,Graduate,Salaried,Purchase,196200,0,3819000.0,24.0,0.0,Approved
AJB2698,2025-01-19,Lagos,,Single,3+,Graduate,Salaried,Land Acquisition,96300,0,627000.0,180.0,1.0,Rejected
AJB2804,2026-02-07,Abuja,Female,MARRIED,0,Not Graduate,Salaried,Construction,157700,139200,4382000.0,240.0,1.0,Approved
AJB2505,07-May-2026,Rural North,Female,Single ,0,Graduate,Salaried,Purchase,95700,0,1383000.0,180.0,1.0,Approved
AJB2853,09/03/2025,port harcourt,Male,Married,0,Graduate,Self-Employed,Purchase,129900,71500,3260000.0,360.0,1.0,Approved
AJB2597,22/12/2025,Port Harcourt,Male,Single,0,Graduate,Self-Employed,Purchase,296600,0,5259000.0,180.0,0.0,Rejected
AJB2881,13-Jan-2026,Lagos,Female,Single,0,Graduate,Salaried,Purchase,132600,129400,3721000.0,360.0,1.0,Approved
AJB2641,2025-11-07,Abuja,Male,MARRIED,2,Not Graduate,Salaried,Renovation,247700,83700,1467000.0,360.0,1.0,Approved
AJB2843,22-Jan-2026,Abuja,Male,Married,2,Graduate,Salaried,Construction,142400,163800,3456000.0,240.0,1.0,Approved
AJB2530,2025-05-24,Lagos,Female,Single,1,Graduate,Salaried,Construction,277800,0,3717000.0,240.0,1.0,Rejected
AJB2805,2026-01-10,Abuja,Male,Married,2,Graduate,Salaried,Renovation,185500,0,1166000.0,12.0,1.0,Rejected
AJB2767,2025-12-15,Port Harcourt,Male,Single,1,Graduate,Salaried,Purchase,187600,0,1943000.0,180.0,1.0,Approved
AJB2574,2026-05-04,Abuja,Male,Married,2,Graduate,Self-Employed,Purchase,323600,147200,7973000.0,240.0,0.0,Approved
AJB2771,22/08/2025,Kano,Male,Married,1,Graduate, Salaried,Renovation,271800,10400,1063000.0,360.0,1.0,Approved
AJB2581,07/07/2025,Lagos,Male,Married,1,Graduate,Self-Employed,Purchase,381200,100300,4435000.0,240.0,1.0,Approved
AJB2555,2025-05-15,port harcourt,Female,Married,0,Not Graduate,Salaried,Renovation,183900,65100,1860000.0,240.0,,Approved
AJB2796,17-Jan-2025,Ibadan,Female,Single,0,Not Graduate,,Construction,296400,0,4943000.0,180.0,1.0,Approved
AJB2726,2025-02-15,Ibadan,Male,Single,3+,Graduate,Salaried,Renovation,222000,0,1717000.0,120.0,0.0,Approved
AJB2584,23/02/2025,Ibadan,Male,Married,0,Not Graduate,Salaried,Construction,267300,96800,2810000.0,360.0,1.0,Approved
AJB2592,02/02/2026,Kano,Male,Single,0,Graduate,Salaried,Purchase,155900,0,2868000.0,,1.0,Approved
AJB2523,09-Jun-2025,Lagos,Female,Married,1,Graduate,Salaried,Purchase,106800,0,1086000.0,180.0,1.0,Approved
AJB2662,05-Feb-2025,Abuja,Male,Single,0,Graduate,Salaried,Construction,180800,0,1760000.0,180.0,1.0,Approved
AJB2717,30-Oct-2025,Rural North,Male,Married,2,Graduate,Salaried,Construction,148700,169800,3009000.0,180.0,1.0,Approved
AJB2753,08/01/2026,Kano,Male,Married,0,Not Graduate,Self-Employed,Construction,85000,184200,2743000.0,180.0,0.0,Rejected
AJB2507,2026-03-29,Lagos,Female,Single,0,Graduate, Salaried,Purchase,301200,0,4558000.0,180.0,,Approved
AJB2537,26-Jan-2026,Lagos,Male,married,3+,Graduate,Self-Employed,Construction,83400,48200,1905000.0,36.0,1.0,Rejected
AJB2871,2025-01-07,Abuja,Male,Married,2,Graduate,Self-Employed,Construction,124200,133800,2011000.0,240.0,1.0,Approved
AJB2558,2027-03-15,Lagos,Male,Single ,0,Graduate,Salaried,Purchase,259200,0,2950000.0,360.0,1.0,Approved
AJB2785,21/11/2025,Lagos,male,Married,2,Graduate,Salaried,Construction,166600,0,1791000.0,180.0,1.0,Approved
AJB2694,2025-09-09,Kano,Male,Married,3+,Not Graduate,Self-Employed,Purchase,77900,119900,2765000.0,240.0,1.0,Approved
AJB2683,2025-05-28,Lagos,Male,Married,0,Not Graduate,Salaried,Purchase,235700,111900,6603000.0,240.0,,Approved
AJB2736,13-Jan-2026,lagos,Male,Single,0,Graduate,Salaried,Renovation,228300,0,,180.0,1.0,Approved
AJB2800,27/06/2025,Rural North,Female,Married,0,Graduate,Salaried,Construction,-161600,136500,2150000.0,240.0,1.0,Approved
AJB2691,2025-08-31,Kano,male,Married,2,Not Graduate,Salaried,Construction,198200,119300,3715000.0,240.0,0.0,Rejected
AJB2591,10-Jun-2026,Rural North,Female,Single ,3+,Graduate,Self-Employed,Renovation,98800,0,740000.0,60.0,1.0,Approved
AJB2533,08/02/2026,Abuja ,Male,N,1,Graduate,Salaried,Purchase,260400,0,5092000.0,120.0,1.0,Approved
AJB2768,2025-05-25,Ibadan,Male,Y,0,Not Graduate,Salaried,Renovation,81800,8400,491000.0,180.0,0.0,Approved
AJB2766,2026-05-01,Ibadan,Male,Single,0,Graduate,Self-Employed,Construction,95500,0,1124000.0,360.0,1.0,Approved
AJB2886,2025-12-05,Rural North,Female,Single,0,Graduate,Salaried,Construction,237000,0,3521000.0,360.0,,Approved
AJB2640,25/04/2026,Rural North,Male,Single,0,Graduate,Salaried,Renovation,161800,0,1269000.0,24.0,1.0,Approved
AJB2803,2025-05-18,Port Harcourt,Male,Single,2,Graduate,Salaried,Construction,211700,86500,4396000.0,36.0,0.0,Approved
AJB2898,2025-06-26,Lagos,,Single,0,Not Graduate,self-employed,Construction,367900,0,5947000.0,60.0,,Approved
AJB2657,2025-12-18,lagos,Male,Married,1,Graduate,Self-Employed,Purchase,309000,0,3822000.0,180.0,0.0,Rejected
AJB2792,06/02/2026,Kano,Female,Married,0,Graduate,Salaried,Construction,213000,220800,7723000.0,60.0,0.0,Rejected
AJB2616,17-May-2025,Lagos,Female,Married,0,Graduate,SALARIED,Purchase,162500,0,3412000.0,180.0,1.0,Approved
AJB2873,07/05/2026,Lagos,Male,Single,2,Not Graduate,Salaried,Purchase,305100,0,3666000.0,12.0,1.0,Approved
AJB2802,2025-12-31,Port Harcourt,male,Married,2,Graduate,Self-Employed,Purchase,653600,51600,11068000.0,180.0,0.0,Approved
AJB2711,20/05/2025,Port Harcourt,Male,Single,1,Not Graduate,Salaried,Construction,301800,0,2195000.0,360.0,0.0,Rejected
AJB2600,2025-05-27,Ibadan,Female,Single,0,Graduate,Self-Employed,Purchase,362200,0,4303000.0,120.0,1.0,Approved
AJB2542,2026-05-13,Kano,Female,Single,1,Graduate,Salaried,Purchase,325300,0,3981000.0,120.0,1.0,Approved
AJB2621,13/11/2025,Lagos,Male,Married,2,Graduate,Salaried,Renovation,157700,86000,1660000.0,24.0,1.0,Approved
AJB2720,2026-05-26,Abuja,Male,Single,3+,Graduate,Self-Employed,Construction,125400,0,1003000.0,60.0,1.0,Approved
AJB2873,07/05/2026,Lagos,Male,Single,2,Not Graduate,Salaried,Purchase,305100,0,3666000.0,12.0,1.0,Approved
AJB2687,16-Jan-2026,Kano,Male,Married,,Graduate,Salaried,Purchase,282900,0,6028000.0,240.0,1.0,Approved
AJB2859,13/05/2025,Lagos,Male,MARRIED,2,Not Graduate,Salaried,Renovation,174000,106600,1801000.0,360.0,1.0,Rejected
AJB2633,2025-01-22,Rural North,Male,Single,2,Not Graduate,Salaried,Purchase,172600,60700,1965000.0,60.0,1.0,Approved
AJB2798,2026-04-05,Lagos,Female,Single,2,Graduate,Salaried,Purchase,229700,0,3789000.0,120.0,1.0,Approved
AJB2615,27/08/2025,Rural North,female,Married,3+,Graduate,Self-Employed,Construction,373800,84000,8513000.0,24.0,1.0,Approved
AJB2752,2026-05-18,Abuja,Male,Single,0,Not Graduate,salaried,Construction,264900,0,4121000.0,180.0,0.0,Rejected
AJB2680,06/05/2025,Ibadan,Female,Married,3+,Graduate,Salaried,Purchase,148600,112400,3379000.0,120.0,1.0,Approved
AJB2524,30-Jan-2025,Port Harcourt,Female,Married,2,Graduate,Salaried,Land Acquisition,182700,91000,3350000.0,36.0,1.0,Approved
AJB2844,11-Aug-2025,Ibadan,Female,Married,0,Graduate,,Purchase,375500,105700,8680000.0,120.0,1.0,Approved
AJB2568,04/01/2026,Lagos,Male,Married,0,Graduate,Salaried,Renovation,340800,64000,1963000.0,240.0,1.0,Rejected
AJB2636,16/05/2025,Abuja,Female,Married,3+,Graduate,Self Employed,Construction,76600,0,1210000.0,12.0,0.0,Rejected
AJB2751,25-Aug-2025,Ibadan,Female,Single,0,Graduate,Self-Employed,Renovation,165900,0,821000.0,360.0,1.0,Rejected
AJB2596,2025-01-08,Lagos,male,Married,0,Graduate,SALARIED,Renovation,254500,0,1920000.0,360.0,,Approved
AJB2670,24-Feb-2025,Abuja,Male,Married,0,Graduate,Salaried,Purchase,136100,112600,4838000.0,240.0,0.0,Rejected
AJB2573,25-Jan-2025,Rural North,Male,Married,0,Graduate,salaried,Renovation,194500,179600,1924000.0,,1.0,Approved
AJB2559,31/05/2026,Lagos,Male,Single,,Not Graduate,Salaried,Renovation,202000,81500,1324000.0,360.0,1.0,Approved
AJB2786,2025-11-26,Rural North, Male,Married,2,Not Graduate,Salaried,Purchase,208100,138400,7212000.0,36.0,1.0,Rejected
AJB2669,2025-04-29,Port Harcourt,Female,Married,0,Graduate,Self-Employed,Land Acquisition,323600,81200,2713000.0,24.0,1.0,Approved
AJB2746,2025-03-01,Lagos,Male,Married,0,Not Graduate,Salaried,Construction,127500,106400,4374000.0,12.0,1.0,Approved
AJB2852,26-Jan-2026,Lagos,Male,Married,0,Graduate,Self-Employed,Construction,112800,121900,4029000.0,240.0,1.0,Approved
AJB2857,05/04/2026,Port Harcourt,Female,Single,0,Graduate,,Construction,140600,51700,3602000.0,180.0,0.0,Rejected
AJB2702,28/05/2025,Rural North,Male,Single,0,Not Graduate,Salaried,Renovation,335000,0,2595000.0,120.0,1.0,Approved
AJB2643,2026-03-01,Rural North,Male,Single,0,Graduate,Self-Employed,Purchase,335300,53300,7371000.0,180.0,,Approved
AJB2576,21-May-2025,Rural North,Male,Married,0,Graduate,Self-Employed,Purchase,384400,77300,6254000.0,36.0,1.0,Approved
AJB2608,10-Nov-2025,Abuja,Male,Married,0,Graduate,Self-Employed,Renovation,138100,0,,,1.0,Approved
AJB2824,2026-04-02,Lagos,Female,Married,0,Graduate,Salaried,Purchase,393000,58400,4715000.0,120.0,1.0,Approved
AJB2645,22/03/2025,Rural North,Male,Married,0,Graduate,Salaried,Purchase,299900,57000,4044000.0,60.0,1.0,Approved
AJB2652,2025-01-08,Ibadan,Male,Married,0,Graduate,Self-Employed,Renovation,195000,0,1047000.0,240.0,1.0,Approved
AJB2794,01-Nov-2025,Abuja,Female,Single,1,Graduate,Salaried,Construction,133900,0,1549000.0,60.0,1.0,Approved
AJB2517,11-Sep-2025,Lagos,Male,Single,1,Graduate,Salaried,Renovation,136200,0,895000.0,360.0,1.0,Approved
AJB2710,27-Dec-2025,Rural North,Female,Married,1,Not Graduate,Salaried,Construction,270800,84200,4549000.0,240.0,1.0,Rejected
