order_id,dispatch_date,delivery_date,branch,delay_days,order_value_naira,delivery_partner,complaint_notes
ORD-0050,2026-08-09,2026-08-11,Ikeja,2,18000,Zenith Dispatch,
ORD-0041,2026-08-15,2026-08-17,Ikeja,2,52500,Rapid Wheels Logistics,
ORD-0250,2026-08-23,2026-08-24,Lekki,1,22500,Rapid Wheels Logistics,
ORD-0241,2026-08-06,2026-08-06,Lekki,0,52500,Rapid Wheels Logistics,
ORD-0290,2026-08-11,2026-08-13,Yaba,2,67000,Rapid Wheels Logistics,
ORD-0090,2026-08-23,2026-08-25,Ikeja,2,22500,CityLink Couriers,
ORD-0075,2026-08-21,2026-08-23,Ikeja,2,8900,CityLink Couriers,
ORD-0231,2026-08-08,2026-08-08,Lekki,0,31000,Zenith Dispatch,
ORD-0064,2026-08-11,2026-08-13,Ikeja,2,31000,SwiftHaul Express,
ORD-0357,2026-08-20,2026-08-20,Yaba,0,15000,SwiftHaul Express,
ORD-0176,2026-08-22,2026-08-22,Lekki,0,27500,CityLink Couriers,
ORD-0268,2026-08-18,2026-08-19,Lekki,1,8900,CityLink Couriers,
ORD-0385,2026-08-24,2026-08-24,Yaba,0,27500,Zenith Dispatch,
ORD-0312,2026-08-24,2026-08-27,Yaba,3,8900,Zenith Dispatch,
ORD-0329,2026-08-13,2026-08-13,Yaba,0,67000,Rapid Wheels Logistics,
ORD-0044,2026-08-17,2026-08-20,Ikeja,3,45000,SwiftHaul Express,
ORD-0336,2026-08-12,2026-08-16,Yaba,4,45000,SwiftHaul Express,"Vehicle breakdown, order delayed to next shipment"
ORD-0284,2026-08-06,2026-08-08,Yaba,2,67000,CityLink Couriers,
ORD-0248,2026-08-11,2026-08-12,Lekki,1,18000,CityLink Couriers,
ORD-0255,2026-08-18,2026-08-20,Lekki,2,18000,SwiftHaul Express,
ORD-0337,2026-08-05,2026-08-05,Yaba,0,15000,CityLink Couriers,
ORD-0095,2026-08-16,2026-08-19,Ikeja,3,27500,Rapid Wheels Logistics,"Traffic delay on route, customer informed"
ORD-0201,2026-08-19,2026-08-20,Lekki,1,18000,Rapid Wheels Logistics,
ORD-0133,2026-08-16,2026-08-20,Ikeja,4,67000,SwiftHaul Express,Customer requested reschedule after first attempt
ORD-0006,2026-08-15,2026-08-16,Ikeja,1,18000,CityLink Couriers,
ORD-0185,2026-08-06,2026-08-06,Lekki,0,67000,SwiftHaul Express,
ORD-0198,2026-08-16,2026-08-17,Lekki,1,52500,Rapid Wheels Logistics,
ORD-0125,2026-08-24,2026-08-27,Ikeja,3,67000,Rapid Wheels Logistics,
ORD-0260,2026-08-06,2026-08-07,Lekki,1,18000,SwiftHaul Express,
ORD-0339,2026-08-06,2026-08-07,Yaba,1,52500,SwiftHaul Express,
ORD-0285,2026-08-18,2026-08-20,Yaba,2,18000,Zenith Dispatch,
ORD-0034,2026-08-07,2026-08-08,Ikeja,1,31000,CityLink Couriers,
ORD-0139,2026-08-18,2026-08-20,Ikeja,2,18000,CityLink Couriers,
ORD-0378,2026-08-21,2026-08-22,Yaba,1,31000,CityLink Couriers,
ORD-0175,2026-08-06,2026-08-08,Lekki,2,8900,CityLink Couriers,
ORD-0313,2026-08-13,2026-08-13,Yaba,0,67000,CityLink Couriers,
ORD-0324,2026-08-05,2026-08-05,Yaba,0,31000,SwiftHaul Express,
ORD-0364,2026-08-20,2026-08-22,Yaba,2,52500,Zenith Dispatch,
ORD-0274,2026-08-23,2026-08-23,Yaba,0,22500,SwiftHaul Express,
ORD-0183,2026-08-09,2026-08-09,Lekki,0,31000,Rapid Wheels Logistics,
ORD-0129,2026-08-16,2026-08-20,Ikeja,4,67000,Rapid Wheels Logistics,"Customer not at address, redelivered next day"
ORD-0221,2026-08-05,2026-08-06,Lekki,1,22500,CityLink Couriers,
ORD-0223,2026-08-12,2026-08-14,Lekki,2,67000,SwiftHaul Express,
ORD-0101,2026-08-17,2026-08-21,Ikeja,4,22500,Zenith Dispatch,
ORD-0325,2026-08-23,2026-08-25,Yaba,2,52500,CityLink Couriers,
ORD-0045,2026-08-21,2026-08-23,Ikeja,2,22500,CityLink Couriers,
ORD-0302,2026-08-14,2026-08-14,Yaba,0,27500,Zenith Dispatch,
ORD-0096,2026-08-07,2026-08-10,Ikeja,3,31000,Rapid Wheels Logistics,
ORD-0103,2026-08-17,2026-08-19,Ikeja,2,15000,Zenith Dispatch,
ORD-0071,2026-08-17,2026-08-20,Ikeja,3,12500,CityLink Couriers,
ORD-0358,2026-08-08,2026-08-09,Yaba,1,27500,Rapid Wheels Logistics,
ORD-0365,2026-08-09,2026-08-11,Yaba,2,67000,Zenith Dispatch,
ORD-0003,2026-08-18,2026-08-20,Ikeja,2,45000,Rapid Wheels Logistics,
ORD-0318,2026-08-23,2026-08-23,Yaba,0,22500,Zenith Dispatch,
ORD-0163,2026-08-16,2026-08-19,Lekki,3,67000,Zenith Dispatch,
ORD-0169,2026-08-21,2026-08-22,LEKKI ,1,45000,Rapid Wheels Logistics,
ORD-0247,2026-08-15,2026-08-15,Lekki,0,45000,CityLink Couriers,
ORD-0256,2026-08-18,2026-08-21,Lekki,3,31000,Zenith Dispatch,"Wrong address on order, corrected and redelivered"
ORD-0264,2026-08-20,2026-08-20,Lekki,0,22500,Rapid Wheels Logistics,
ORD-0343,2026-08-08,2026-08-08,Yaba,0,27500,SwiftHaul Express,
ORD-0117,2026-08-12,2026-08-14,Ikeja,2,31000,Zenith Dispatch,
ORD-0228,2026-08-22,2026-08-25,Lekki,3,67000,Zenith Dispatch,"Vehicle breakdown, order delayed to next shipment"
ORD-0321,2026-08-14,2026-08-15,Yaba,1,27500,SwiftHaul Express,
ORD-0065,2026-08-24,2026-08-26,Ikeja,2,27500,Zenith Dispatch,
ORD-0028,2026-08-19,2026-08-22,Ikeja,3,27500,CityLink Couriers,
ORD-0301,2026-08-13,2026-08-13,Yaba,0,22500,CityLink Couriers,
ORD-0020,2026-08-17,2026-08-19,Ikeja,2,22500,Rapid Wheels Logistics,
ORD-0091,2026-08-08,2026-08-11,Ikeja,3,67000,Rapid Wheels Logistics,"Traffic delay on route, customer informed"
ORD-0283,2026-08-10,2026-08-12,Yaba,2,18000,CityLink Couriers,
ORD-0342,2026-08-15,2026-08-15,Yaba,0,45000,Zenith Dispatch,
ORD-0150,2026-08-11,2026-08-11,Lekki,0,52500,Zenith Dispatch,
ORD-0272,2026-08-11,2026-08-11,Yaba,0,45000,Zenith Dispatch,
ORD-0252,2026-08-22,2026-08-23,Lekki,1,15000,SwiftHaul Express,
ORD-0001,2026-08-14,2026-08-16,Ikeja,2,27500,Zenith Dispatch,
ORD-0291,2026-08-15,2026-08-16,Yaba,1,8900,Zenith Dispatch,
ORD-0007,2026-08-15,2026-08-18,Ikeja,3,31000,CityLink Couriers,Customer requested reschedule after first attempt
ORD-0180,2026-08-07,2026-08-08,Lekki,1,12500,CityLink Couriers,
ORD-0232,2026-08-14,2026-08-15,Lekki,1,18000,Rapid Wheels Logistics,
ORD-0010,2026-08-08,2026-08-10,Ikeja,2,31000,Rapid Wheels Logistics,
ORD-0109,2026-08-10,2026-08-10,Ikeja,0,18000,CityLink Couriers,
ORD-0108,2026-08-14,2026-08-17,Ikeja,3,31000,Zenith Dispatch,Customer requested reschedule after first attempt
ORD-0184,2026-08-08,2026-08-08,Lekki,0,52500,Rapid Wheels Logistics,
ORD-0347,2026-08-08,2026-08-09,Yaba,1,15000,CityLink Couriers,
ORD-0008,2026-08-13,2026-08-15,Ikeja,2,15000,Rapid Wheels Logistics,
ORD-0167,2026-08-05,2026-08-10,Lekki,5,45000,CityLink Couriers,"Traffic delay on route, customer informed"
ORD-0156,2026-08-04,2026-08-05,Lekki,1,15000,Zenith Dispatch,
ORD-0366,2026-08-21,2026-08-21,Yaba,0,45000,Zenith Dispatch,
ORD-0199,2026-08-14,2026-08-14,Lekki,0,52500,Zenith Dispatch,
ORD-0134,2026-08-17,2026-09-15,Ikeja,29,31000,Rapid Wheels Logistics,
ORD-0319,2026-08-14,2026-08-14,Yaba,0,45000,SwiftHaul Express,
ORD-0159,2026-08-24,2026-08-26,Lekki,2,52500,Rapid Wheels Logistics,
ORD-0327,2026-08-10,2026-08-12,Yaba,2,22500,SwiftHaul Express,
ORD-0253,2026-08-22,2026-08-22,Lekki,0,15000,Zenith Dispatch,
ORD-0046,2026-08-17,2026-08-20,Ikeja,3,52500,CityLink Couriers,
ORD-0170,2026-08-16,2026-08-16,Lekki,0,31000,CityLink Couriers,
ORD-0094,2026-08-13,2026-08-14,Ikeja,1,15000,SwiftHaul Express,
ORD-0022,2026-08-15,2026-08-15,Ikeja,0,27500,CityLink Couriers,
ORD-0293,2026-08-23,2026-08-23,Yaba,0,18000,Rapid Wheels Logistics,
ORD-0130,2026-08-08,2026-08-09,Ikeja,1,22500,Zenith Dispatch,
ORD-0363,2026-08-05,2026-08-08,Yaba,3,22500,CityLink Couriers,"Vehicle breakdown, order delayed to next shipment"
ORD-0295,2026-08-20,2026-08-22,Yaba,2,52500,SwiftHaul Express,
ORD-0087,2026-08-05,2026-08-09,Ikeja,4,45000,CityLink Couriers,
ORD-0157,2026-08-23,2026-08-24,Lekki,1,27500,Rapid Wheels Logistics,
ORD-0317,2026-08-18,2026-08-18,Yaba,0,27500,Zenith Dispatch,
ORD-0240,2026-08-23,2026-08-25,Lekki,2,67000,Zenith Dispatch,
ORD-0059,2026-08-07,2026-08-10,Ikeja,3,67000,CityLink Couriers,
ORD-0204,2026-08-21,2026-08-21,Lekki,0,12500,Zenith Dispatch,
ORD-0051,2026-08-20,2026-08-22,Ikeja,2,15000,Zenith Dispatch,
ORD-0371,2026-08-19,2026-08-20,yaba,1,45000,Zenith Dispatch,
ORD-0076,2026-08-19,2026-08-20,Ikeja,1,27500,Zenith Dispatch,
ORD-0359,2026-08-22,2026-08-24,Yaba,2,18000,CityLink Couriers,
ORD-0386,2026-08-14,2026-08-14, YABA,0,31000,Rapid Wheels Logistics,
ORD-0168,2026-08-15,2026-08-15,Lekki,0,18000,Zenith Dispatch,
ORD-0005,2026-08-20,2026-08-22,Ikeja,2,31000,CityLink Couriers,
ORD-0332,2026-08-05,2026-08-05,Yaba,0,12500,Zenith Dispatch,
ORD-0057,2026-08-24,2026-08-27,Ikeja,3,12500,Rapid Wheels Logistics,
ORD-0145,2026-08-08,2026-08-09,Lekki,1,8900,Zenith Dispatch,
ORD-0300,2026-08-07,2026-08-07,Yaba,0,8900,CityLink Couriers,
ORD-0345,2026-08-05,2026-08-05,Yaba,0,22500,Zenith Dispatch,
ORD-0081,2026-08-08,2026-08-10,Ikeja,2,67000,CityLink Couriers,
ORD-0200,2026-08-12,2026-08-13,Lekki,1,45000,CityLink Couriers,
ORD-0171,2026-08-07,2026-08-10,Lekki,3,67000,Rapid Wheels Logistics,
ORD-0235,2026-08-20,2026-08-23,Lekki,3,8900,Zenith Dispatch,"Customer not at address, redelivered next day"
ORD-0121,2026-08-07,2026-08-09,Ikeja,2,27500,Zenith Dispatch,
ORD-0026,2026-08-17,2026-08-19,Ikeja,2,27500,Zenith Dispatch,
ORD-0264,2026-08-20,2026-08-20,Lekki,0,22500,Rapid Wheels Logistics,
ORD-0128,2026-08-12,2026-08-15,Ikeja,3,67000,Rapid Wheels Logistics,
ORD-0132,2026-08-21,2026-08-24,Ikeja,3,52500,CityLink Couriers,
ORD-0320,2026-08-08,2026-08-08,Yaba,0,45000,Rapid Wheels Logistics,
ORD-0067,2026-08-11,2026-08-13,Ikeja,2,31000,Zenith Dispatch,
ORD-0392,2026-08-13,2026-08-13,Yaba,0,15000,Rapid Wheels Logistics,
ORD-0307,2026-08-09,2026-08-10,Yaba,1,15000,Zenith Dispatch,
ORD-0137,2026-08-06,2026-08-10, Ikeja,4,22500,Rapid Wheels Logistics,Customer requested reschedule after first attempt
ORD-0265,2026-08-18,2026-08-18,Lekki,0,18000,Zenith Dispatch,
ORD-0298,2026-08-15,2026-08-15,Yaba,0,22500,CityLink Couriers,
ORD-0073,2026-08-22,2026-08-25,Ikeja,3,52500,SwiftHaul Express,"Wrong address on order, corrected and redelivered"
ORD-0083,2026-08-14,2026-08-14,Ikeja,0,27500,SwiftHaul Express,
ORD-0288,2026-08-15,2026-08-15,Yaba,0,8900,CityLink Couriers,
ORD-0224,2026-08-19,2026-08-19,Lekki,0,15000,SwiftHaul Express,
ORD-0102,2026-08-21,2026-08-23,Ikeja,2,67000,SwiftHaul Express,
ORD-0205,2026-08-07,2026-08-08,Lekki,1,52500,Zenith Dispatch,
ORD-0190,2026-08-19,2026-08-19,Lekki,0,67000,Rapid Wheels Logistics,
ORD-0330,2026-08-06,2026-08-06,Yaba,0,52500,SwiftHaul Express,
ORD-0219,2026-08-16,2026-08-20,Lekki,4,52500,SwiftHaul Express,"Wrong address on order, corrected and redelivered"
ORD-0326,2026-08-09,2026-08-09,Yaba,0,45000,Zenith Dispatch,
ORD-0187,2026-08-23,2026-08-23,Lekki,0,12500,Zenith Dispatch,
ORD-0055,2026-08-10,2026-08-11,Ikeja,1,52500,SwiftHaul Express,
ORD-0004,2026-08-04,2026-09-20,Ikeja,47,67000,Rapid Wheels Logistics,"Traffic delay on route, customer informed"
ORD-0078,2026-08-09,2026-08-11,Ikeja,2,67000,CityLink Couriers,
ORD-0086,2026-08-06,2026-08-09,Ikeja,3,67000,Rapid Wheels Logistics,
ORD-0054,2026-08-11,2026-08-16,Ikeja,5,67000,Rapid Wheels Logistics,Customer requested reschedule after first attempt
ORD-0123,2026-08-13,2026-08-16,Ikeja,3,12500,CityLink Couriers,"Customer not at address, redelivered next day"
ORD-0056,2026-08-16,2026-08-17,Ikeja,1,27500,CityLink Couriers,
ORD-0214,2026-08-12,2026-08-13,Lekki,1,31000,Zenith Dispatch,
ORD-0166,2026-08-23,2026-08-23,Lekki,0,52500,Zenith Dispatch,
ORD-0151,2026-08-06,2026-08-07,Lekki,1,52500,Rapid Wheels Logistics,
ORD-0316,2026-08-18,2026-08-18,Yaba,0,52500,SwiftHaul Express,
ORD-0019,2026-08-22,2026-08-24,Ikeja,2,8900,CityLink Couriers,
ORD-0011,2026-08-07,2026-08-10,Ikeja,3,8900,CityLink Couriers,Customer requested reschedule after first attempt
ORD-0191,2026-08-06,2026-08-06,Lekki,0,45000,CityLink Couriers,
ORD-0261,2026-08-18,2026-08-19,Lekki,1,15000,Rapid Wheels Logistics,
ORD-0173,2026-08-05,2026-08-05,Lekki,0,45000,CityLink Couriers,
ORD-0389,2026-08-17,2026-08-18,Yaba,1,22500,Rapid Wheels Logistics,
ORD-0310,2026-08-24,2026-08-25,Yaba,1,27500,SwiftHaul Express,
ORD-0014,2026-08-06,2026-08-08,Ikeja,2,52500,Zenith Dispatch,
ORD-0049,2026-08-10,2026-08-12,Ikeja,2,8900,SwiftHaul Express,
ORD-0372,2026-08-13,2026-08-14,Yaba,1,18000,SwiftHaul Express,
ORD-0353,2026-08-07,2026-08-07,Yaba,0,52500,Zenith Dispatch,
ORD-0331,2026-08-11,2026-08-11,Yaba,0,27500,Zenith Dispatch,
ORD-0095,2026-08-16,2026-08-19,Ikeja,3,27500,Rapid Wheels Logistics,"Traffic delay on route, customer informed"
ORD-0116,2026-08-14,2026-08-15,Ikeja,1,45000,SwiftHaul Express,
ORD-0021,2026-08-13,2026-08-15,Ikeja,2,45000,Rapid Wheels Logistics,
ORD-0166,2026-08-23,2026-08-23,Lekki,0,52500,Zenith Dispatch,
ORD-0373,2026-08-16,2026-08-17,Yaba,1,45000,CityLink Couriers,
ORD-0053,2026-08-08,2026-08-10,Ikeja,2,12500,Rapid Wheels Logistics,
ORD-0303,2026-08-20,2026-08-22,Yaba,2,31000,Rapid Wheels Logistics,
ORD-0063,2026-08-19,2026-08-20,Ikeja,1,67000,Zenith Dispatch,
ORD-0100,2026-08-24,2026-08-26,Ikeja,2,67000,CityLink Couriers,
ORD-0280,2026-08-21,2026-08-21,Yaba,0,18000,Zenith Dispatch,
ORD-0136,2026-08-12,2026-08-15,Ikeja,3,18000,CityLink Couriers,Customer requested reschedule after first attempt
ORD-0244,2026-08-13,2026-08-15,Lekki,2,45000,CityLink Couriers,
ORD-0348,2026-08-14,2026-08-16,Yaba,2,15000,Zenith Dispatch,
ORD-0367,2026-08-23,2026-08-25,Yaba,2,67000,CityLink Couriers,
ORD-0144,2026-08-17,2026-08-17,Lekki,0,22500,CityLink Couriers,
ORD-0015,2026-08-05,2026-08-05,Ikeja,0,12500,Zenith Dispatch,
ORD-0119,2026-08-09,2026-08-11,Ikeja,2,27500,CityLink Couriers,
ORD-0207,2026-08-23,2026-08-23,Lekki,0,31000,Zenith Dispatch,
ORD-0037,2026-08-17,2026-08-19,Ikeja,2,15000,Rapid Wheels Logistics,
ORD-0182,2026-08-22,2026-08-24,Lekki,2,45000,Rapid Wheels Logistics,
ORD-0220,2026-08-13,2026-08-14,Lekki,1,45000,Rapid Wheels Logistics,
ORD-0397,2026-08-14,2026-08-14,Yaba,0,22500,SwiftHaul Express,
ORD-0286,2026-08-15,2026-08-15,Yaba,0,18000,Zenith Dispatch,
ORD-0296,2026-08-22,2026-08-24,Yaba,2,18000,CityLink Couriers,
ORD-0062,2026-08-21,2026-08-22,Ikeja,1,67000,CityLink Couriers,
ORD-0351,2026-08-22,2026-08-24,Yaba,2,31000,SwiftHaul Express,
ORD-0138,2026-08-19,2026-08-22,Ikeja,3,31000,Rapid Wheels Logistics,"Wrong address on order, corrected and redelivered"
ORD-0314,2026-08-16,2026-08-17,Yaba,1,31000,SwiftHaul Express,
ORD-0048,2026-08-17,2026-08-20,Ikeja,3,15000,Zenith Dispatch,"Vehicle breakdown, order delayed to next shipment"
ORD-0382,2026-08-19,2026-08-20,Yaba,1,18000,CityLink Couriers,
ORD-0362,2026-08-10,2026-08-11,Yaba,1,52500,SwiftHaul Express,
ORD-0039,2026-08-12,2026-08-14,Ikeja,2,12500,SwiftHaul Express,
ORD-0105,2026-08-12,2026-08-14,Ikeja,2,67000,CityLink Couriers,
ORD-0107,2026-08-14,2026-08-17,Ikeja,3,22500,SwiftHaul Express,"Wrong address on order, corrected and redelivered"
ORD-0309,2026-08-06,2026-08-07,Yaba,1,12500,Zenith Dispatch,
ORD-0072,2026-08-16,2026-08-21,Ikeja,5,15000,Rapid Wheels Logistics,
ORD-0135,2026-08-23,2026-08-26,Ikeja,3,18000,CityLink Couriers,
ORD-0305,2026-08-08,2026-08-10,Yaba,2,31000,Rapid Wheels Logistics,
ORD-0098,2026-08-06,2026-08-08,Ikeja,2,8900,Zenith Dispatch,
ORD-0172,2026-08-24,2026-08-26,Lekki,2,15000,Rapid Wheels Logistics,
ORD-0346,2026-08-19,2026-08-20,Yaba,1,8900,SwiftHaul Express,
ORD-0089,2026-08-11,2026-08-13,Ikeja,2,27500,Rapid Wheels Logistics,
ORD-0013,2026-08-12,2026-08-15,Ikeja,3,8900,SwiftHaul Express,"Customer not at address, redelivered next day"
ORD-0292,2026-08-18,2026-08-20,Yaba,2,8900,CityLink Couriers,
ORD-0254,2026-08-24,2026-08-25,Lekki,1,45000,CityLink Couriers,
ORD-0110,2026-08-17,2026-08-19,Ikeja,2,67000,CityLink Couriers,
ORD-0174,2026-08-08,2026-08-09,Lekki,1,15000,CityLink Couriers,
ORD-0161,2026-08-13,2026-08-14,Lekki,1,67000,Rapid Wheels Logistics,
ORD-0045,2026-08-21,2026-08-23,Ikeja,2,22500,CityLink Couriers,
ORD-0344,2026-08-20,2026-08-20,Yaba,0,12500,Rapid Wheels Logistics,
ORD-0398,2026-08-24,2026-08-24,Yaba,0,31000,CityLink Couriers,
ORD-0226,2026-08-20,2026-08-20,Lekki,0,18000,Zenith Dispatch,
ORD-0399,2026-08-04,2026-08-07,Yaba,3,45000,Zenith Dispatch,"Traffic delay on route, customer informed"
ORD-0243,2026-08-20,2026-08-21,Lekki,1,18000,SwiftHaul Express,
ORD-0143,2026-08-06,2026-08-06,Lekki,0,31000,Zenith Dispatch,
ORD-0016,2026-08-08,2026-08-09,Ikeja,1,31000,CityLink Couriers,
ORD-0141,2026-08-13,2026-08-13,Lekki,0,67000,Rapid Wheels Logistics,
ORD-0154,2026-08-22,2026-08-22,Lekki,0,52500,Zenith Dispatch,
ORD-0212,2026-08-21,2026-08-24,Lekki,3,15000,Rapid Wheels Logistics,
ORD-0396,2026-08-12,2026-08-13,Yaba,1,27500,Rapid Wheels Logistics,
ORD-0074,2026-08-13,2026-08-15,Ikeja,2,52500,SwiftHaul Express,
ORD-0155,2026-08-07,2026-08-09,Lekki ,2,27500,SwiftHaul Express,
ORD-0122,2026-08-11,2026-08-12,Ikeja,1,45000,CityLink Couriers,
ORD-0165,2026-08-24,2026-08-26,Lekki,2,18000,SwiftHaul Express,
ORD-0164,2026-08-21,2026-08-24,Lekki,3,52500,CityLink Couriers,
ORD-0304,2026-08-12,2026-08-13,Yaba,1,27500,Zenith Dispatch,
ORD-0149,2026-08-18,2026-08-19,Lekki,1,18000,CityLink Couriers,
ORD-0343,2026-08-08,2026-08-08,Yaba,0,27500,SwiftHaul Express,
ORD-0072,2026-08-16,2026-08-21,Ikeja,5,15000,Rapid Wheels Logistics,
ORD-0356,2026-08-22,2026-08-22,Yaba,0,67000,CityLink Couriers,
ORD-0334,2026-08-13,2026-08-13,Yaba,0,8900,Rapid Wheels Logistics,
ORD-0120,2026-08-19,2026-08-21,Ikeja,2,31000,Zenith Dispatch,
ORD-0225,2026-08-17,2026-08-18,Lekki,1,31000,CityLink Couriers,
ORD-0206,2026-08-17,2026-08-17,Lekki,0,12500,Zenith Dispatch,
ORD-0023,2026-08-07,2026-08-09,Ikeja,2,45000,SwiftHaul Express,
ORD-0126,2026-08-22,2026-08-24,Ikeja,2,31000,SwiftHaul Express,
ORD-0025,2026-08-09,2026-08-12,Ikeja,3,52500,Rapid Wheels Logistics,"Wrong address on order, corrected and redelivered"
ORD-0350,2026-08-22,2026-08-22,Yaba,0,45000,SwiftHaul Express,
ORD-0018,2026-08-06,2026-08-10,Ikeja,4,22500,Rapid Wheels Logistics,
ORD-0052,2026-08-06,2026-08-09,Ikeja,3,27500,Zenith Dispatch,"Traffic delay on route, customer informed"
ORD-0035,2026-08-22,2026-08-23,Ikeja,1,31000,Rapid Wheels Logistics,
ORD-0355,2026-08-22,2026-08-23,Yaba,1,27500,Rapid Wheels Logistics,
ORD-0124,2026-08-21,2026-08-22,Ikeja,1,31000,CityLink Couriers,
ORD-0009,2026-08-21,2026-08-23,Ikeja,2,31000,Rapid Wheels Logistics,
ORD-0215,2026-08-15,2026-08-17,Lekki,2,12500,CityLink Couriers,
ORD-0323,2026-08-11,2026-08-11,Yaba,0,22500,Rapid Wheels Logistics,
ORD-0369,2026-08-11,2026-08-11,Yaba,0,31000,Zenith Dispatch,
ORD-0097,2026-08-22,2026-08-26,Ikeja,4,12500,Zenith Dispatch,"Wrong address on order, corrected and redelivered"
ORD-0142,2026-08-22,2026-08-24,Lekki,2,45000,CityLink Couriers,
ORD-0080,2026-08-16,2026-08-19,Ikeja,3,15000,Rapid Wheels Logistics,"Vehicle breakdown, order delayed to next shipment"
ORD-0178,2026-08-12,2026-08-12,Lekki,0,22500,CityLink Couriers,
ORD-0236,2026-08-17,2026-08-17,Lekki,0,12500,SwiftHaul Express,
ORD-0380,2026-08-11,2026-08-12,Yaba,1,27500,Rapid Wheels Logistics,
ORD-0118,2026-08-11,2026-08-15,Ikeja,4,18000,CityLink Couriers,Customer requested reschedule after first attempt
ORD-0195,2026-08-17,2026-08-17,Lekki,0,18000,Rapid Wheels Logistics,
ORD-0273,2026-08-16,2026-08-16,Yaba,0,15000,Rapid Wheels Logistics,
ORD-0218,2026-08-06,2026-08-07,Lekki,1,8900,CityLink Couriers,
ORD-0279,2026-08-07,2026-08-10,Yaba,3,12500,CityLink Couriers,"Vehicle breakdown, order delayed to next shipment"
ORD-0238,2026-08-22,2026-08-25,Lekki,3,52500,SwiftHaul Express,"Vehicle breakdown, order delayed to next shipment"
ORD-0153,2026-08-18,2026-08-18,Lekki,0,45000,Zenith Dispatch,
ORD-0338,2026-08-15,2026-08-15,Yaba,0,8900,Zenith Dispatch,
ORD-0335,2026-08-07,2026-08-08,Yaba,1,52500,CityLink Couriers,
ORD-0115,2026-08-19,2026-08-23,Ikeja,4,8900,Zenith Dispatch,Customer requested reschedule after first attempt
ORD-0066,2026-08-18,2026-08-19,Ikeja,1,18000,Zenith Dispatch,
ORD-0374,2026-08-13,2026-08-15,Yaba,2,12500,Zenith Dispatch,
ORD-0202,2026-08-06,2026-08-08,Lekki,2,18000,SwiftHaul Express,
ORD-0390,2026-08-16,2026-08-19,Yaba,3,67000,CityLink Couriers,
ORD-0092,2026-08-18,2026-08-21,Ikeja,3,31000,Zenith Dispatch,Customer requested reschedule after first attempt
ORD-0219,2026-08-16,2026-08-20,Lekki,4,52500,SwiftHaul Express,"Wrong address on order, corrected and redelivered"
ORD-0179,2026-08-21,2026-08-22,Lekki,1,31000,CityLink Couriers,
ORD-0394,2026-08-24,2026-08-24,Yaba,0,8900,SwiftHaul Express,
