title,description,type,question,options,answer,difficulty
"core querying: select, where, order by",WHERE filter row count,multiple choice,SELECT * FROM customers WHERE city = 'Lagos'; how many rows does this return against Eko Traders' 10-row customers table?,2|3|4|10,3,intermediate
"core querying: select, where, order by",Quoting text literals,multiple choice,"Why does WHERE city = Lagos (without quotes) fail in SQLite, while WHERE city = 'Lagos' succeeds?","Lagos without quotes is too long a value|Text values must be wrapped in quotes; without them SQLite treats Lagos as a column or identifier name, not a string|SQLite does not support the WHERE clause|City names must always be written in capital letters","Text values must be wrapped in quotes; without them SQLite treats Lagos as a column or identifier name, not a string",intermediate
"core querying: select, where, order by",AND versus OR row counts,multiple choice,"Compared to using AND, what happens to a query's result set when membership_tier = 'Gold' OR city = 'Lagos' is used instead of AND?",OR will always return fewer or the same number of rows as AND|OR will always return more or the same number of rows as AND|OR and AND always return exactly the same rows|OR causes a syntax error in this context,OR will always return more or the same number of rows as AND,intermediate
"core querying: select, where, order by",Correct DESC syntax,multiple choice,"Which query correctly returns each customer's full_name and total_spent, sorted from the highest spender to the lowest?","SELECT full_name, total_spent FROM customers ORDER BY total_spent ASC;|SELECT full_name, total_spent FROM customers ORDER BY total_spent DESC;|SELECT full_name, total_spent FROM customers WHERE total_spent DESC;|SELECT full_name, total_spent FROM customers SORT BY total_spent DESC;","SELECT full_name, total_spent FROM customers ORDER BY total_spent DESC;",advanced
"core querying: select, where, order by",Inclusive range with WHERE,multiple choice,A query needs every customer whose total_spent is at least 50000 and at most 100000. Which WHERE clause is correct?,WHERE total_spent > 50000 AND total_spent < 100000|WHERE total_spent >= 50000 AND total_spent <= 100000|WHERE total_spent = 50000 OR total_spent = 100000|WHERE total_spent BETWEEN 50000 OR 100000,WHERE total_spent >= 50000 AND total_spent <= 100000,advanced
"core querying: select, where, order by",Correct clause order,multiple choice,"Which of these queries follows the correct SELECT, FROM, WHERE, ORDER BY clause order?",SELECT full_name FROM customers ORDER BY total_spent WHERE city = 'Lagos';|SELECT full_name FROM customers WHERE city = 'Lagos' ORDER BY total_spent;|WHERE city = 'Lagos' SELECT full_name FROM customers;|SELECT full_name ORDER BY total_spent FROM customers WHERE city = 'Lagos';,SELECT full_name FROM customers WHERE city = 'Lagos' ORDER BY total_spent;,advanced
aggregation and grouping,COUNT(*) definition,multiple choice,"Which SQL function returns the number of rows in a table, regardless of NULLs?",SUM(*)|COUNT(*)|AVG(*)|TOTAL(*),COUNT(*),beginner
aggregation and grouping,HAVING versus WHERE stage,True or False,"True or False: HAVING filters individual rows before they are grouped, in the same way WHERE does.",True|False,False,beginner
aggregation and grouping,COUNT(column) skips NULLs,multiple choice,"Eko Traders' customers table has 10 rows, and 2 of them have a NULL phone number. What does SELECT COUNT(phone) FROM customers; return?",10|8|2|0,8,intermediate
aggregation and grouping,Verified SUM total,multiple choice,SELECT SUM(total_spent) FROM customers; against Eko Traders' full customers table returns which value?,625000|181500|858000|335000,858000,intermediate
aggregation and grouping,Correct use of HAVING,multiple choice,"Which clause would you use to keep only the membership tiers whose average spend exceeds 80000, after grouping by tier?",WHERE AVG(total_spent) > 80000|HAVING AVG(total_spent) > 80000|GROUP BY AVG(total_spent) > 80000|ORDER BY AVG(total_spent) > 80000,HAVING AVG(total_spent) > 80000,intermediate
aggregation and grouping,Verified Gold tier average,multiple choice,"Grouping Eko Traders' customers by membership_tier and computing AVG(total_spent) for the Gold tier (Chidinma, Aisha, Yusuf, Fatima) returns which value?",130250|156250|185000|98000,156250,advanced
aggregation and grouping,SELECT-list rule under GROUP BY,multiple choice,"A query is written as SELECT city, COUNT(*) FROM customers GROUP BY city;. Why would adding full_name to the SELECT list, without adding it to GROUP BY or wrapping it in an aggregate, cause an error?","full_name is not a real column|Once GROUP BY collapses rows into groups, every selected column must be grouped or aggregated, since a city can contain several full_names|SQL only allows two columns in a SELECT list|COUNT(*) can only be used with numeric columns","Once GROUP BY collapses rows into groups, every selected column must be grouped or aggregated, since a city can contain several full_names",advanced
aggregation and grouping,Reference-check verification habit,multiple choice,A colleague's report claims Eko Traders' total recorded customer spend is 900000. Running SELECT SUM(total_spent) FROM customers; returns 858000. What is the correct next step?,"Trust the colleague's figure since they are more senior|Report 858000 without investigating, since the query ran without error|Investigate the gap before reporting either number, since a query running without error is not the same as a query being correct|Average the two numbers and report 879000","Investigate the gap before reporting either number, since a query running without error is not the same as a query being correct",advanced
joins and subqueries,INNER versus LEFT JOIN,multiple choice,What is the key difference between INNER JOIN and LEFT JOIN?,INNER JOIN is faster in every case|INNER JOIN keeps only matching rows from both tables; LEFT JOIN keeps every row from the left table whether it matches or not|LEFT JOIN can only be used with two tables; INNER JOIN can be used with any number|There is no difference; they are interchangeable,INNER JOIN keeps only matching rows from both tables; LEFT JOIN keeps every row from the left table whether it matches or not,beginner
joins and subqueries,Purpose of the ON clause,multiple choice,"In a JOIN's ON clause, what is being specified?",Which columns to display in the result|Which rows to sort by|Which columns from each table must match for two rows to be paired|How many rows the join should return,Which columns from each table must match for two rows to be paired,beginner
joins and subqueries,Definition of a subquery,True or False,"True or False: A subquery is a complete SQL query written inside another query, usually in parentheses.",True|False,True,beginner
joins and subqueries,Verified INNER JOIN row count,multiple choice,"A 5-customer slice has 4 orders in total: Chidinma has 2, Aisha has 1, Emeka has 1, and Tunde and Ngozi have none. How many rows does an INNER JOIN between these customers and their orders return?",2|4|5|6,4,intermediate
joins and subqueries,Verified LEFT JOIN row count,multiple choice,"Using the same 5-customer, 4-order slice, how many rows does a LEFT JOIN between customers and orders return?",4|5|6|9,6,intermediate
joins and subqueries,LEFT JOIN unmatched rows,multiple choice,"After a LEFT JOIN from customers to orders, a row belonging to a customer with no orders will show which value in the orders columns?","Zero|An empty string|NULL|The word ""None""",NULL,intermediate
joins and subqueries,LEFT JOIN plus IS NULL,multiple choice,"Which WHERE condition, added after a LEFT JOIN from customers to orders, correctly finds customers who have never placed an order?",WHERE orders.order_id = 0|WHERE orders.order_id IS NULL|WHERE orders.order_id IS NOT NULL|WHERE customers.customer_id IS NULL,WHERE orders.order_id IS NULL,intermediate
joins and subqueries,Correct IN-subquery pattern,multiple choice,"A trainee wants to find customers who have placed at least one Delivered order, without writing a JOIN at all. Which approach correctly does this?",WHERE customer_id IN (SELECT customer_id FROM orders WHERE status = 'Delivered')|WHERE customer_id = (SELECT customer_id FROM orders)|WHERE EXISTS customer_id FROM orders|WHERE customer_id LIKE (SELECT customer_id FROM orders),WHERE customer_id IN (SELECT customer_id FROM orders WHERE status = 'Delivered'),advanced
joins and subqueries,Predicting an INNER JOIN count,multiple choice,"Before running an INNER JOIN between a customers table and an orders table, where one customer can have many orders, what is the correct way to predict the row count?",Count the number of customers only|Count the number of orders that have a matching customer|Multiply the number of customers by the number of orders|Row counts cannot be predicted before running a join,Count the number of orders that have a matching customer,advanced
warehousing fundamentals,OLTP acronym,multiple choice,What does OLTP stand for?,Online Table Processing|Online Transaction Processing|Offline Transaction Protocol|Optimised Long-Term Processing,Online Transaction Processing,beginner
warehousing fundamentals,Warehouse load schedule,True or False,"True or False: A data warehouse is typically updated in real time, the instant every transaction happens.",True|False,False,beginner
warehousing fundamentals,Fact table definition,multiple choice,"In a star schema, which table holds the numeric measures, such as quantity and line_total, along with foreign keys out to every dimension?",The dimension table|The fact table|The lookup table|The staging table,The fact table,intermediate
warehousing fundamentals,Identify a dimension column,multiple choice,"Which of the following is a typical dimension table column, rather than a fact table column?",line_total|quantity|product_category|sale_id,product_category,intermediate
warehousing fundamentals,Grain of a fact table,multiple choice,Eko Traders' fact_sales table logs one row per line item sold. What is the grain of this table?,One row per customer|One row per day|One row per line item sold|One row per store,One row per line item sold,intermediate
warehousing fundamentals,Verified Q1 Electronics revenue,multiple choice,SELECT SUM(f.line_total) FROM fact_sales f JOIN dim_product p ON f.product_key = p.product_key JOIN dim_date d ON f.date_key = d.date_key WHERE p.category = 'Electronics' AND d.quarter = 'Q1 2026'; returns which value?,34000|43000|7500|68000,43000,advanced
warehousing fundamentals,Why order_items maps to fact_sales,multiple choice,"Why does Eko Traders' fact_sales table come from order_items rather than orders, when both tables exist in the OLTP schema?","order_items is a smaller table than orders|order_items already has the right grain, one row per product sold, matching what the fact table needs; orders alone is one row too coarse|orders does not have a primary key|fact_sales cannot reference the orders table at all","order_items already has the right grain, one row per product sold, matching what the fact table needs; orders alone is one row too coarse",advanced
warehousing fundamentals,Risk of querying OLTP directly,multiple choice,"A regional manager wants total revenue by product category across two years of history, joining five OLTP tables directly against the live checkout database. What is the main risk of running this directly against the OLTP system rather than a warehouse?","OLTP tables cannot store historical data at all|The heavy, multi-join analytical query can compete for resources with the live application's fast, small transactions, slowing down real customers|SQL syntax is different between OLTP and warehouse systems|OLTP databases cannot be joined with more than two tables","The heavy, multi-join analytical query can compete for resources with the live application's fast, small transactions, slowing down real customers",advanced
ai-augmented sql,Core trust principle,multiple choice,"According to this module, when should you consider an AI-written SQL query safe to trust?","As soon as it runs without an error|Once its result has been predicted and verified, not merely run|As soon as AI explains why it wrote the query that way|Once it has been regenerated three times with the same result","Once its result has been predicted and verified, not merely run",beginner
ai-augmented sql,Running is not correct,True or False,True or False: A SQL query that runs without any error message is guaranteed to be correct.,True|False,False,beginner
ai-augmented sql,Prompt ambiguity causes COUNT(*) bug,multiple choice,"A prompt asks AI to ""count customers who ordered in Q1 2026"" without specifying ""unique."" What is the most likely consequence?","The AI will refuse to write the query|The AI may use COUNT(*) after a join, which double-counts a customer who placed more than one order|The query will run with a syntax error|The AI will automatically add DISTINCT on its own","The AI may use COUNT(*) after a join, which double-counts a customer who placed more than one order",intermediate
ai-augmented sql,Fixing a dropped-rows join bug,multiple choice,"An AI-written query uses INNER JOIN to list every customer with their order count, when the question asked for ""every customer, including those with zero orders."" What is the fix?",Change INNER JOIN to LEFT JOIN|Add a WHERE clause instead of a JOIN|Change COUNT(*) to SUM(*)|Remove the JOIN entirely,Change INNER JOIN to LEFT JOIN,intermediate
ai-augmented sql,Recall the five-check list,multiple choice,Which of these is one of the recommended checks before trusting an AI-written query?,Confirming the query uses fewer than 10 lines|Predicting the expected row count or value before running it|Checking that AI used a friendly tone|Confirming the query was generated in under 5 seconds,Predicting the expected row count or value before running it,intermediate
ai-augmented sql,Diagnosing a COUNT(*) mismatch,multiple choice,"An AI-written query returns COUNT(*) = 3 for ""unique customers who ordered in Q1 2026,"" but the correct, verified answer is 2. What is the most likely cause?","The WHERE clause has a syntax error|COUNT(*) counted one row per order after the JOIN, rather than one row per distinct customer|The date range was written in the wrong format|The orders table is missing a primary key","COUNT(*) counted one row per order after the JOIN, rather than one row per distinct customer",advanced
ai-augmented sql,Recognising a precise prompt,multiple choice,Which prompt is most likely to produce a correct query on the first attempt?,"""Get customers and orders info""|""Write something to summarise sales""|""Using our customers and orders tables, count the DISTINCT customers who placed at least one order between 2026-01-01 and 2026-03-31 inclusive. Return a single number.""|""Make a report about the business""","""Using our customers and orders tables, count the DISTINCT customers who placed at least one order between 2026-01-01 and 2026-03-31 inclusive. Return a single number.""",advanced
ai-augmented sql,Trust-threshold fallback,multiple choice,"If an AI-written query's result still looks wrong after asking the AI to explain its logic, what is the recommended next step?","Keep regenerating the same prompt until a different number appears|Ship the original result anyway, since AI is generally reliable|Write the query yourself from the schema, using the skills built earlier in the module|Ask a different AI tool for a second opinion and average the two results","Write the query yourself from the schema, using the skills built earlier in the module",advanced
