title,description,type,question,options,answer,difficulty
visualisation principles and chart choice,Pie chart for two averages,True or False,"True or False: according to this topic, a pie chart is an appropriate way to compare two independent averages, such as average loan amount for salaried versus self-employed applicants.",True|False,False,beginner
visualisation principles and chart choice,Problem with oversized markers,multiple choice,"Why is a scatter plot of income against loan amount, drawn with large, fully opaque markers, considered a poor chart for that data?","The oversized, opaque markers hide the point density, making it impossible to tell how many applicants are stacked in a dense region|Scatter plots cannot show numeric data|Opaque markers always change the underlying data values|Matplotlib does not support scatter plots with more than 30 points","The oversized, opaque markers hide the point density, making it impossible to tell how many applicants are stacked in a dense region",intermediate
visualisation principles and chart choice,Effect of a truncated axis,multiple choice,A chart's y-axis for branch approval rates runs from 45 to 80 rather than from 0 to 100. What effect does this truncated axis have?,It exaggerates the visual size of the differences between branches|It has no effect on how the chart is read|It automatically sorts the branches by value|It converts the chart into a pie chart,It exaggerates the visual size of the differences between branches,intermediate
visualisation principles and chart choice,Preparing bars for ranking,multiple choice,"For a ranking question such as 'which branch processes the most applications', what should be done to the bars before presenting the chart?",Sort the bars by value rather than alphabetically|Colour every bar a different colour|Rotate the category labels to 90 degrees|Add a legend even though there is only one series,Sort the bars by value rather than alphabetically,intermediate
visualisation principles and chart choice,Radius versus area scaling,multiple choice,"Why does scaling a circle's radius linearly with a data value mislead the reader, as in the Lagos versus Kano bubble comparison?","The eye perceives area, not radius, so scaling radius linearly makes the perceived difference grow with the square of the true ratio|Circles cannot represent numeric data accurately in any form|Radius and area always scale at the same rate|Matplotlib does not allow circles to be resized","The eye perceives area, not radius, so scaling radius linearly makes the perceived difference grow with the square of the true ratio",intermediate
visualisation principles and chart choice,Risk of dual axis charts,multiple choice,"Two variables with unrelated units are plotted on the same chart using two separate y-axes, a dual axis chart. Why does this technique risk misleading the reader?","The apparent overlap or crossing of the two lines depends on where each axis happens to start, which is an arbitrary choice unrelated to the data itself|Dual axis charts are always technically impossible to create in matplotlib|Using two y-axes automatically doubles the data being shown|Two y-axes force the chart into a pie chart layout","The apparent overlap or crossing of the two lines depends on where each axis happens to start, which is an arbitrary choice unrelated to the data itself",advanced
visualisation principles and chart choice,Reporting a rate without n,multiple choice,"Kano's approval rate of 50% is reported without its sample size. Why does this specifically risk misleading a reader, given Kano has only 32 applications?","A rate calculated from a small sample can swing widely by chance alone, so the headline figure may look more certain than it actually is|Percentages calculated from small samples are always mathematically incorrect|Sample size never affects how trustworthy a rate is|32 applications is too large a sample to report accurately","A rate calculated from a small sample can swing widely by chance alone, so the headline figure may look more certain than it actually is",advanced
visualisation principles and chart choice,Table versus chart for exact figures,True or False,"True or False: according to this topic, when a stakeholder needs exact figures to quote directly in a memo, a well formatted table is a better choice than a chart.",True|False,True,advanced
insight narrative and business communication,Finding versus insight,multiple choice,"What is the key difference between a finding and an insight, as defined in this topic?","An insight adds the business implication to the observation, while a finding is the observation alone|A finding and an insight are two names for the same thing|An insight must always contain a chart, while a finding is text only|A finding is always wrong and an insight is always correct","An insight adds the business implication to the observation, while a finding is the observation alone",beginner
insight narrative and business communication,Four part narrative order,multiple choice,"What are the four parts of the narrative structure taught in this topic, in order?","Context, Finding, Implication, Recommendation|Finding, Context, Recommendation, Implication|Question, Data type, Comparison, Chart|Introduction, Data, Analysis, Conclusion","Context, Finding, Implication, Recommendation",beginner
insight narrative and business communication,Definition of the so what test,True or False,True or False: the 'so what' test asks whether a busy manager reading only one sentence could reasonably reply 'so what?',True|False,True,beginner
insight narrative and business communication,Identifying a sharp insight,multiple choice,Which sentence passes the 'so what' test?,"Self-employed applicants request 22% larger loans on average, but their incomes are also more volatile, so underwriting for this segment may need a different verification standard.|The data shows some interesting patterns in loan amounts.|Kano is underperforming and should be investigated.|There is a strong relationship between income and loan amount, which makes sense intuitively.","Self-employed applicants request 22% larger loans on average, but their incomes are also more volatile, so underwriting for this segment may need a different verification standard.",intermediate
insight narrative and business communication,What a recommendation needs,multiple choice,What is missing from the recommendation 'we should investigate this further' that stops it from being an acceptable recommendation?,"A named owner or method, and a way to know when the question is resolved|A chart to accompany it|A reference to Module 6.2|A confidence interval","A named owner or method, and a way to know when the question is resolved",intermediate
insight narrative and business communication,What changes for an audience,multiple choice,"According to this topic, what should change and what should stay the same when the same finding is adapted for a technical versus a non-technical audience?","The vocabulary and level of statistical detail should change, the underlying facts should stay the same|The underlying facts should change, the vocabulary should stay the same|Both the facts and the vocabulary should change|Neither the facts nor the vocabulary should change","The vocabulary and level of statistical detail should change, the underlying facts should stay the same",intermediate
insight narrative and business communication,Specific and falsifiable recommendations,multiple choice,"Why does the recommendation 'pull a manual sample of Kano's last 20 rejections and compare against Ibadan's' count as specific and falsifiable, while 'investigate further' does not?","It names a concrete action, a comparison benchmark, and a way to check whether the action resolved the question|It contains a percentage figure, which automatically makes any recommendation acceptable|It is shorter than 'investigate further'|It avoids naming a specific branch","It names a concrete action, a comparison benchmark, and a way to check whether the action resolved the question",intermediate
insight narrative and business communication,Correlation versus causation wording,multiple choice,Why does the topic warn against writing 'being self-employed causes larger loan requests' based on the AJEBO data?,"The data shows a correlation between employment type and loan size, not a causal mechanism, so 'causes' overstates what the evidence supports|Self-employed applicants never request larger loans in this dataset|Causal language is always acceptable once a correlation is found|The word 'causes' is a synonym for 'is associated with'","The data shows a correlation between employment type and loan size, not a causal mechanism, so 'causes' overstates what the evidence supports",advanced
insight narrative and business communication,Why state sample size directly,multiple choice,"Kano's approval rate finding states the sample size, n=32, directly in the finding sentence rather than in a footnote. Why does this topic insist on that placement?","Because a small sample size materially affects how much the reader should trust the finding, so it must not be easy to overlook|Because footnotes are not supported by markdown|Because sample sizes are only relevant for non-technical audiences|Because the recommendation section always repeats the sample size regardless","Because a small sample size materially affects how much the reader should trust the finding, so it must not be easy to overlook",advanced
insight narrative and business communication,Vague recommendations fail the test,True or False,"True or False: according to this topic, the sentence 'we should look into this' fails the same test as a weak insight statement.",True|False,True,advanced
github for portfolios,What a README does,multiple choice,What does a README.md file do on a GitHub repository?,GitHub automatically displays it on the repository's front page|It stores the repository's commit history|It automatically deletes personal data from uploaded files|It is only visible after cloning the repository locally,GitHub automatically displays it on the repository's front page,beginner
github for portfolios,Definition of a commit,multiple choice,"Which of the three core GitHub concepts taught in this topic is described as 'a saved snapshot of changes, with a short message describing what changed'?",A commit|A repository|A README|A pull request,A commit,beginner
github for portfolios,Assumption about README readers,True or False,"True or False: according to this topic, most employers reviewing a portfolio repository are assumed to read the README and never open a single code file.",True|False,True,beginner
github for portfolios,Linking versus embedding,multiple choice,What is the key difference between linking to a chart image in a README and embedding it?,"An embedded image displays directly on the page, while a linked image requires the reader to click through to view it|A linked image loads faster than an embedded one|Embedding an image removes it from the repository's file history|GitHub does not support embedded images in README files","An embedded image displays directly on the page, while a linked image requires the reader to click through to view it",intermediate
github for portfolios,The hardcoded Kano bug,multiple choice,"In the worked README example, what specific problem was found in the generated text even though the notebook ran without any errors?","The business problem paragraph still named 'Kano' directly, even after the underlying data-driven figures had been recalculated dynamically|The README failed to render as markdown|The chart images were embedded twice|The commit message was left blank","The business problem paragraph still named 'Kano' directly, even after the underlying data-driven figures had been recalculated dynamically",intermediate
github for portfolios,What never to upload,multiple choice,Which item belongs on the 'what NOT to upload' list for a public portfolio repository?,API keys or credentials pasted into a cell during testing|The cleaned dataset with a synthetic Application_ID|Chart images exported as PNG files|A README.md file,API keys or credentials pasted into a cell during testing,intermediate
github for portfolios,Structure of a strong README,multiple choice,"What is the recommended minimum content of a strong analyst README, according to this topic's structure?","Project summary, business problem, data source and safety confirmation, method, key findings with embedded charts, tools, reproduction steps, and contact details|Only the project title and a link to the notebook|A single paragraph describing the code used|A list of every column name in the dataset","Project summary, business problem, data source and safety confirmation, method, key findings with embedded charts, tools, reproduction steps, and contact details",intermediate
github for portfolios,Why check values individually,multiple choice,"The data safety checker scans string columns for values matching email and phone patterns individually, rather than joining column values into one string first. Why does this distinction matter?",Joining values into a single string before pattern matching can create false matches that span across multiple unrelated values|Joining values always makes the check run faster with no downside|Checking values individually can never detect an email address|Pandas cannot search for regex patterns in a joined string,Joining values into a single string before pattern matching can create false matches that span across multiple unrelated values,advanced
github for portfolios,Re-confirming data safety,multiple choice,"Why does this topic insist that a dataset must still be re-confirmed as safe before publishing, even after an earlier module already guaranteed no real personal data was present?","Because any dataset that is merged, extended, or otherwise changed from its original safe version needs to be re-checked before it goes anywhere public|Because the original safety guarantee only applies for 24 hours|Because GitHub automatically re-adds personal data to any uploaded file|Because the data safety check cannot be run more than once","Because any dataset that is merged, extended, or otherwise changed from its original safe version needs to be re-checked before it goes anywhere public",advanced
github for portfolios,Rendering does not mean correct,True or False,"True or False: according to this topic, a README that renders without any errors can be safely assumed to be factually correct.",True|False,False,advanced
ai-assisted exploration and drafting,The verification loop steps,multiple choice,What are the three steps of the verification loop taught in this topic for checking an AI-surfaced claim?,"Trace it, reproduce it, compare it|Prompt it, publish it, archive it|Summarise it, format it, submit it|Read it, trust it, cite it","Trace it, reproduce it, compare it",beginner
ai-assisted exploration and drafting,What confident tone tells you,multiple choice,"According to this topic, what does a confident tone from an AI assistant tell you about whether its answer is correct?","Nothing, tone carries no information about factual correctness|It guarantees the answer is correct|It means the answer has already been verified|It means the AI is quoting directly from the source data","Nothing, tone carries no information about factual correctness",beginner
ai-assisted exploration and drafting,Re-checking data before AI upload,True or False,"True or False: this topic states that a dataset must be re-checked for real personal data before it is uploaded to an AI tool, especially after it has been merged or extended.",True|False,True,beginner
ai-assisted exploration and drafting,The wrong Kano percentage,multiple choice,"In the red-pen exercise, the AI draft stated Kano's approval rate as 'approximately 35%.' What was wrong with this claim?","The verified figure from Module 6.2 is 50%, not 35%|The claim was correct and needed no correction|35% referred to a different branch, not Kano|The AI draft never mentioned a specific percentage","The verified figure from Module 6.2 is 50%, not 35%",intermediate
ai-assisted exploration and drafting,The real application volume trend,multiple choice,The AI draft claimed application volume 'has grown significantly' in 2025 to 2026. What did the verified Module 6.2 figures actually show?,"Monthly application volume had softened, declining roughly 23% from its early-2025 average|Application volume had grown by exactly 23%|Application volume stayed completely flat with no change|Application volume data was not available to check this claim","Monthly application volume had softened, declining roughly 23% from its early-2025 average",intermediate
ai-assisted exploration and drafting,An invented mechanism,multiple choice,Why is the sentence 'self-employed applicants request larger loans because they have more unpredictable income needs' flagged as a problem in the red-pen exercise?,"The data shows self-employed applicants request larger loans on average, but it does not establish why, so the stated reason is invented, not observed|Self-employed applicants do not request larger loans in the dataset|The sentence contains no numbers at all|'Unpredictable income needs' is the officially documented reason in Module 6.1","The data shows self-employed applicants request larger loans on average, but it does not establish why, so the stated reason is invented, not observed",intermediate
ai-assisted exploration and drafting,Required deliverable attachments,multiple choice,"Besides the final corrected narrative, what two additional items must be submitted with an AI-assisted deliverable in this programme?","A prompt log and a verification note|A confidence interval and a p-value|A second AI-drafted narrative and a peer review|A raw, unedited copy of the dataset",A prompt log and a verification note,intermediate
ai-assisted exploration and drafting,Internal contradiction in the draft,multiple choice,"The AI draft's final paragraph states the loan book is 'healthy, with no major causes for concern,' despite an earlier paragraph flagging Kano's low approval rate. What problem does this illustrate?","The AI draft's own claims are internally inconsistent, since the summary judgement contradicts the specific finding raised earlier in the same draft|The two paragraphs are consistent and this is a normal pattern in insight writing|The AI draft correctly resolved the Kano concern by the final paragraph|This is an example of a well supported summary judgement","The AI draft's own claims are internally inconsistent, since the summary judgement contradicts the specific finding raised earlier in the same draft",advanced
ai-assisted exploration and drafting,Why verify every claim,multiple choice,"Why does this topic insist on checking every claim that will appear in a final deliverable, rather than verifying only the first claim and assuming the rest are equally solid?","Each claim in an AI draft can independently be wrong regardless of whether earlier claims turned out to be correct|Once the first claim is verified, all following claims in the same draft are mathematically guaranteed to be correct|AI assistants only make one error per document|Verifying every claim is optional once a prompt log has been submitted",Each claim in an AI draft can independently be wrong regardless of whether earlier claims turned out to be correct,advanced
ai-assisted exploration and drafting,Red pen step cannot be skipped,True or False,"True or False: according to this topic, the red-pen markup step can be skipped as long as the trainee submits a 'cleaned-up' rewrite of the AI's draft.",True|False,False,advanced
