title,description,type,question,options,answer,difficulty
"data types, data structures and the data team",Customer rating data type,multiple choice,"A new column, customer_rating (1 to 5 stars), is added to the delivery log. What data type is it?","Numerical, continuous|Text|Categorical, ordinal (it has a natural order)|Date/time","Categorical, ordinal (it has a natural order)",intermediate
"data types, data structures and the data team",Complaint notes as unstructured,multiple choice,The delivery log's complaint_notes column sits inside a structured CSV file. How should its content best be described?,"Structured, because the file itself is structured|Unstructured in content, even though it sits inside a structured file|Numerical, because it is a column in a spreadsheet|Date/time, because complaints are logged over time","Unstructured in content, even though it sits inside a structured file",intermediate
"data types, data structures and the data team",Data engineer role,multiple choice,Which data team role is primarily responsible for building and maintaining the pipelines that collect and store data?,Data analyst|Data engineer|Business intelligence developer|Data governance officer,Data engineer,intermediate
"data types, data structures and the data team",Combined roles in small team,multiple choice,"In a small Nigerian fintech, one person single-handedly collects, cleans, analyses and reports on data. Which established data-team roles are most closely being combined in this situation?","Data governance officer and business intelligence developer only|Data engineer and data analyst, and often elements of BI reporting|Data scientist only, since all data work is inherently predictive modelling|No roles are being combined, since one person cannot perform more than one role","Data engineer and data analyst, and often elements of BI reporting",advanced
"data types, data structures and the data team",Why order ID isn't numerical,multiple choice,Two columns both contain only digits: order_id and delay_days. What is the best explanation for why only one of them is treated as numerical data?,"delay_days has fewer unique values than order_id|order_id is an identifier that is never meaningfully summed or averaged, while delay_days represents a measurable quantity|order_id is always longer than delay_days|Numerical data must always be a whole number, and both columns are whole numbers, so both are numerical","order_id is an identifier that is never meaningfully summed or averaged, while delay_days represents a measurable quantity",advanced
"data types, data structures and the data team",Analyst vs data scientist roles,multiple choice,Which statement most accurately distinguishes the data analyst's role from the data scientist's role on a data team?,"The analyst only writes code, while the data scientist never writes code|The analyst cleans, explores and interprets data to answer business questions and communicate findings, while the data scientist builds predictive models and deeper statistical work|The analyst and data scientist perform identical tasks in every organisation|The data scientist reports to the analyst in every data team structure","The analyst cleans, explores and interprets data to answer business questions and communicate findings, while the data scientist builds predictive models and deeper statistical work",advanced
the ai-augmented analyst and toolkit setup,Google Colab purpose,multiple choice,"Which tool in the programme toolkit is used for running real code in notebooks, rather than for chat-based conversation?",Claude|ChatGPT|Google Colab|Gemini,Google Colab,beginner
the ai-augmented analyst and toolkit setup,What changes with AI tools,multiple choice,"According to this topic, what is one thing that genuinely changes for an analyst who uses AI tools?","The analyst no longer needs to verify any answer|Drafting speed and first-pass code, formulas or summaries become faster|The business question no longer needs to be defined|AI tools remove the need for a data team entirely","Drafting speed and first-pass code, formulas or summaries become faster",beginner
the ai-augmented analyst and toolkit setup,Data never to paste,multiple choice,"Which category of information must never be pasted into an AI tool, according to this topic?","The names of the four toolkit assistants|Real customer or colleague personal data|The column headers of a safe, prepared dataset|A business question written in your own words",Real customer or colleague personal data,beginner
the ai-augmented analyst and toolkit setup,Currency text parsing error,multiple choice,"A trainee pastes the order_value_naira column into a chatbot as plain text, with currency symbols and commas left in, and asks for the total. Based on this topic's hook exercise, what is the most likely outcome?",The assistant will always refuse to respond|The assistant may confidently state an incorrect total that must be checked against the real sum|The assistant will automatically remove the currency symbols and calculate correctly every time|The spreadsheet total will change to match the assistant's answer,The assistant may confidently state an incorrect total that must be checked against the real sum,intermediate
the ai-augmented analyst and toolkit setup,What stays the same with AI,multiple choice,Which statement correctly reflects what does NOT change about the analyst's job when AI tools are introduced?,The analyst no longer needs to understand the business context|The analyst still owns the business question and must verify the AI's output before trusting it|The analyst can skip the Data Preparation stage entirely|The analyst's communication stage becomes automatic,The analyst still owns the business question and must verify the AI's output before trusting it,intermediate
the ai-augmented analyst and toolkit setup,Safe use of AI suggestions,multiple choice,A trainee has already calculated branch delay averages in a spreadsheet and wants an assistant to suggest follow-up questions worth investigating. Which is the most appropriate use of the assistant here?,"Ask it to recalculate the averages from scratch to double-check the spreadsheet|Ask it to suggest questions to investigate further, then filter which ones are answerable from the real data|Ask it to replace the spreadsheet entirely for all future calculations|Ask it to decide which branch should be investigated without any human review","Ask it to suggest questions to investigate further, then filter which ones are answerable from the real data",intermediate
the ai-augmented analyst and toolkit setup,Gemini toolkit fit,multiple choice,Which toolkit component would be most useful if a trainee's work already lives in Google Sheets or Google Docs?,Google Colab|Claude|Gemini|publica.academy,Gemini,intermediate
the ai-augmented analyst and toolkit setup,Confident wrong AI count,multiple choice,A pair of trainees ask an assistant to count the unique branches in the delivery log and receive an incorrect count. What does this best illustrate?,"That counting tasks are too advanced for any AI assistant|That a confident AI answer can still be wrong, so verification is required even for simple-looking tasks|That the delivery log itself must be corrupted|That only complex calculations, never simple ones, need to be verified","That a confident AI answer can still be wrong, so verification is required even for simple-looking tasks",advanced
the ai-augmented analyst and toolkit setup,Why core skill comes first,multiple choice,"Why does the programme insist on teaching the traditional, non-AI method of a skill before the AI-assisted version, rather than teaching the AI-assisted method alone?",Because AI tools are unreliable and should never be used in practice|So the analyst can operate without AI tools and is equipped to judge whether the AI's output is actually correct|Because traditional methods are always faster than AI-assisted methods|Because the programme's software licences do not permit AI tools in early weeks,So the analyst can operate without AI tools and is equipped to judge whether the AI's output is actually correct,advanced
the ai-augmented analyst and toolkit setup,Cause of wrong currency total,multiple choice,"A trainee's assistant, when asked to sum a currency column, returns a total that does not match the spreadsheet's SUM formula. Based on the topic's hook exercise, what is the most likely underlying cause?","The spreadsheet formula is broken and the assistant's answer should be trusted instead|Currency symbols and commas left in the pasted text were most likely misread when the assistant processed the values|The assistant deliberately gives wrong answers to test the trainee|Spreadsheets cannot calculate totals correctly, only AI assistants can",Currency symbols and commas left in the pasted text were most likely misread when the assistant processed the values,advanced
prompt fundamentals for data work,Four prompt ingredients,multiple choice,"What are the four ingredients of a good data prompt, as taught in this topic?","Context, Data description, Task, Output format|Greeting, Question, Apology, Closing|Data description, Output format, Signature, Deadline|Context, Opinion, Task, Conclusion","Context, Data description, Task, Output format",beginner
prompt fundamentals for data work,Data description ingredient,multiple choice,"Which prompt ingredient tells the assistant what the dataset actually contains, since it usually cannot see your spreadsheet directly?",Context|Data description|Task|Output format,Data description,beginner
prompt fundamentals for data work,Output format ingredient,multiple choice,"Which prompt ingredient states exactly how you want the answer structured, such as a table or a short list?",Context|Task|Output format|Data description,Output format,beginner
prompt fundamentals for data work,Task ingredient weakness,multiple choice,"A trainee writes the prompt ""Look at the delays."" Compared to a stronger version like ""Calculate the average delay_days per branch and identify the branch with the highest average,"" which ingredient is the weak prompt missing precision on?",Context|Task|Output format|Data description,Task,intermediate
prompt fundamentals for data work,Identify data description example,multiple choice,Which of these best demonstrates including a data description in a prompt?,"""You are helping a Lagos logistics firm.""|""Here is a delivery log with columns order_id, dispatch_date, delivery_date, branch and delay_days, 400 rows.""|""Return the result as a table sorted from highest to lowest.""|""Please help me.""","""Here is a delivery log with columns order_id, dispatch_date, delivery_date, branch and delay_days, 400 rows.""",intermediate
prompt fundamentals for data work,Fixing unstructured paragraph answer,multiple choice,"A trainee's first prompt attempt returns a long, unstructured paragraph instead of something directly usable. Which ingredient, if added, would most directly fix this?",Context|Data description|Output format|Task,Output format,intermediate
prompt fundamentals for data work,Correct response to poor answer,multiple choice,What is the correct action to take when a prompt returns a poor first answer?,"Assume the task is impossible and abandon the prompt entirely|Diagnose which ingredient was thin or missing, sharpen it, and re-run the prompt|Repeat the exact same prompt several times until the answer changes|Switch to a different assistant without changing the prompt at all","Diagnose which ingredient was thin or missing, sharpen it, and re-run the prompt",intermediate
prompt fundamentals for data work,Iterative prompt refinement,multiple choice,"Iteration 1 of a prompt has no context or format and returns a generic answer. Iteration 2 adds data description and task, and returns a long unstructured paragraph. Iteration 3 adds output format and returns a clean, verifiable table. What does this progression best demonstrate?","That only the first ingredient added ever matters|Iterative prompt refinement, where each added ingredient measurably improves the usability of the answer|That assistants become less accurate the more detail you give them|That output format is the only ingredient that ever matters","Iterative prompt refinement, where each added ingredient measurably improves the usability of the answer",advanced
prompt fundamentals for data work,Why poor answers are normal,multiple choice,Why is receiving a poor first answer from an AI assistant considered a normal part of the workflow rather than a sign of failure?,"Because AI assistants are designed to always give a wrong answer first|Because a poor answer usually reflects one missing or unclear ingredient, not an impossible question|Because trainees are expected to give up after the first attempt|Because the programme discourages re-running any prompt more than once","Because a poor answer usually reflects one missing or unclear ingredient, not an impossible question",advanced
prompt fundamentals for data work,Combining Topic 3 and 4 fixes,multiple choice,"A trainee's prompt already includes clear context and a precise task, but the assistant still returns a wrong total for a currency column. Drawing on both Topic 3 and Topic 4, what is the most likely remaining fix?","Remove the task ingredient entirely, since it is not needed|Improve the data description to flag currency symbols or commas in the values, and still verify the output against the spreadsheet|Assume the answer is correct, since context and task were already strong|Switch the output format to a paragraph instead of a table","Improve the data description to flag currency symbols or commas in the values, and still verify the output against the spreadsheet",advanced
verification habits and responsible use,Verification definition,multiple choice,"Which of the following best defines ""verification"" of an AI-produced answer?","Deciding the answer looks reasonable and moving on|Checking the answer against something you trust more than the AI's confidence, such as a manual calculation|Asking a second AI assistant the same question and comparing tone|Assuming the answer is correct if it was returned quickly","Checking the answer against something you trust more than the AI's confidence, such as a manual calculation",beginner
verification habits and responsible use,Acceptable verification method,multiple choice,Which of the following counts as an acceptable verification method for an AI-produced answer?,"""It looks right""|Recalculating the result independently and comparing it|Trusting the answer because it was stated confidently|Assuming the answer is correct because the assistant is usually reliable",Recalculating the result independently and comparing it,beginner
verification habits and responsible use,Data never to paste,multiple choice,"Which category of data must never be entered into an AI tool, according to this topic?","Column headers from a safely prepared dataset|Real customer names, phone numbers or addresses|A business question written in the analyst's own words|A branch name such as ""Ikeja""","Real customer names, phone numbers or addresses",beginner
verification habits and responsible use,Choosing recalculation method,multiple choice,"An assistant claims ""Ikeja's average delay is 2.3 days, the highest of the three branches."" Given that this is a low-effort, high-stakes number that will drive a business recommendation, which verification method fits best?",Cross-reference against an unrelated report|Recalculate the average directly from the prepared data|Accept the claim since it matches expectations|Ask a different assistant to repeat the same claim,Recalculate the average directly from the prepared data,intermediate
verification habits and responsible use,Cross-reference verification method,multiple choice,"Which of the three verification methods involves comparing an AI-produced answer against a separate, already-trusted source, such as an earlier report?",Recalculate|Spot-check|Cross-reference|Disclose,Cross-reference,intermediate
verification habits and responsible use,Responding to unsafe data request,multiple choice,"A manager asks a trainee to paste a real customer complaint log, including names and phone numbers, into an assistant to summarise common issues. What should the trainee do?","Paste the file as requested, since the manager approved it|Decline to paste the raw file, explain why, and propose an anonymised alternative|Paste only the phone numbers, since names are the more sensitive field|Proceed, but only using a personal AI account instead of the company one","Decline to paste the raw file, explain why, and propose an anonymised alternative",intermediate
verification habits and responsible use,NDPA unauthorised transfer risk,multiple choice,"Under the Nigeria Data Protection Act (NDPA), why can pasting real customer data into a public AI tool be a problem?","Because AI tools are always slower than manual analysis|Because it may count as an unauthorised transfer of personal data to a third party|Because AI tools cannot process any text data|Because the NDPA only applies to government agencies, not analysts",Because it may count as an unauthorised transfer of personal data to a third party,intermediate
verification habits and responsible use,Row count verification lesson,multiple choice,"A claim states ""The delivery log shows 400 total orders,"" but the actual raw file contains 412 rows, including 12 exact duplicates. What does this best illustrate about verification?","That row counts never need to be checked, only averages do|That a stated figure should be checked directly against the file rather than trusted, since duplicates or other quirks can make a raw count differ from a clean one|That the delivery log is unusable once any duplicates are present|That duplicates always increase the average delay, so no verification is needed","That a stated figure should be checked directly against the file rather than trusted, since duplicates or other quirks can make a raw count differ from a clean one",advanced
verification habits and responsible use,Data protection as personal duty,multiple choice,"Why is data protection described as a professional duty resting with the individual analyst, rather than only with the employer's policy?","Because employers are never responsible for data protection under any circumstance|Because analysts routinely handle the personal data that other roles collect, so responsibility for safe use sits with whoever is handling it at that moment|Because only senior managers are covered by the NDPA|Because personal data protection only applies once data leaves the company's building","Because analysts routinely handle the personal data that other roles collect, so responsibility for safe use sits with whoever is handling it at that moment",advanced
verification habits and responsible use,Why delivery log is safe,multiple choice,Which best explains why delivery_log.csv is safe to paste into an AI tool throughout the programme?,"Because it is a small file, and small files are always safe|Because real personal identifiers were removed or replaced with generated values before it was distributed to trainees|Because it is only used internally within the programme|Because AI tools cannot read CSV files, so no data is actually shared",Because real personal identifiers were removed or replaced with generated values before it was distributed to trainees,advanced
