Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
875-31-8302,Wuse,Abuja,Normal,Male,Sports and travel,9338.00,-1,466.90,9804.90,1/3/2019,1:07:00 PM,Cash,9338.00,4.761904762,466.90,9.6
595-11-5460,Ikeja,Lagos,Member,Female,Health and beauty,9658.00,2,965.80,20281.80,3/15/2019,10:12:00 AM,Credit card,19316.00,4.761904762,965.80,5.1
137-63-5492,Trans-Amadi,Port Harcourt,Normal,Male,Electronic accessories,5876.00,10,2938.00,61698.00,1/29/2019,2:26:00 PM,Ewallet,58760.00,4.761904762,2938.00,9.0
801-88-0346,Trans-Amadi,Port Harcourt,Normal,Female,Fashion accessories,7606.00,3,1140.90,23958.90,1/5/2019,8:30:00 PM,Credit card,22818.00,4.761904762,1140.90,9.8
745-71-3520,Ikeja,Lagos,Member,Female,Electronic accessories,2522.00,7,882.70,18536.70,2/4/2019,10:23:00 AM,Cash,17654.00,4.761904762,882.70,8.2
325-90-8763,Trans-Amadi,Port Harcourt,Member,Female,Electronic accessories,4657.00,10,2328.50,48898.50,1/27/2019,1:58:00 PM,Cash,46570.00,4.761904762,2328.50,7.6
448-61-3783,Ikeja,Lagos,Normal,Female,Electronic accessories,9002.00,8,3600.80,75616.80,3/21/2019,4:08:00 PM,Credit card,72016.00,4.761904762,3600.80,4.5
450-42-3339,Trans-Amadi,Port Harcourt,Normal,Male,HEALTH AND BEAUTY   ,8461.00,10,4230.50,88840.50,2/9/2019,6:58:00 PM,Credit card,84610.00,4.761904762,4230.50,8.8
394-30-3170,Wuse,Abuja,Member,Female,Sports and travel,8843.00,8,3537.20,74281.20,3/22/2019,7:35:00 PM,Credit card,70744.00,4.761904762,3537.20,4.3
379-17-6588,Trans-Amadi,Port Harcourt,Normal,Male,Fashion accessories,5961.00,10,2980.50,62590.50,3/14/2019,11:07:00 AM,Cash,59610.00,4.761904762,2980.50,5.3
828-61-5674,Ikeja,Lagos,Member,Male,Sports and travel,4402.00,10,2201.00,46221.00,3/20/2019,7:57:00 PM,Credit card,44020.00,4.761904762,2201.00,9.6
359-94-5395,Wuse,Abuja,Normal,Male,Health and beauty,9278.00,1,463.90,9741.90,3/15/2019,10:50:00 AM,Credit card,9278.00,4.761904762,463.90,9.8
744-02-5987,Ikeja,Lagos,Member,Male,Home and lifestyle,7838.00,6,2351.40,49379.40,1/10/2019,2:16:00 PM,Ewallet,47028.00,4.761904762,2351.40,5.8
542-41-0513,Wuse,Abuja,Member,Female,Electronic accessories,5749.00,4,1149.80,24145.80,3/15/2019,11:57:00 AM,Cash,22996.00,4.761904762,1149.80,6.6
160-22-2687,Ikeja,Lagos,Member,Female,Health and beauty,9595.00,5,2398.75,50373.75,1/23/2019,2:21:00 PM,Ewallet,47975.00,4.761904762,2398.75,8.8
433-75-6987,Wuse,Abuja,Member,Female,Health and beauty,5597.00,7,1958.95,41137.95,3/5/2019,7:06:00 PM,Ewallet,39179.00,4.761904762,1958.95,8.9
257-73-1380,Trans-Amadi,Port Harcourt,Member,Male,Sports and travel,8293.00,4,1658.60,34830.60,1/20/2019,4:51:00 PM,Ewallet,33172.00,4.761904762,1658.60,9.6
123-19-1176,Ikeja,Lagos,Member,Female,Health and beauty,5822.00,8,2328.80,48904.80,1/27/2019,8:33:00 PM,Ewallet,46576.00,4.761904762,2328.80,8.4
834-25-9262,Trans-Amadi,Port Harcourt,Normal,Female,Fashion accessories,8168.00,4,1633.60,34305.60,1/6/2019,12:12:00 PM,Cash,32672.00,4.761904762,1633.60,9.1
373-88-1424,Trans-Amadi,Port Harcourt,Member,Male,Home and lifestyle,3581.00,5,895.25,18800.25,2/6/2019,6:44:00 PM,Ewallet,17905.00,4.761904762,895.25,7.9
320-85-2052,Wuse,Abuja,Normal,Female,Sports and travel,3481.00,1,174.05,3655.05,1/14/2019,10:11:00 AM,Credit card,3481.00,4.761904762,174.05,7.0
187-83-5490,Ikeja,Lagos,Member,Male,Electronic accessories,2077.00,4,415.40,8723.40,1/31/2019,1:47:00 PM,Cash,8308.00,4.761904762,415.40,4.7
538-22-0304,Trans-Amadi,Port Harcourt,Normal,Male,Electronic accessories,6495.00,10,3247.50,68197.50,3/24/2019,6:27:00 PM,Cash,64950.00,4.761904762,3247.50,5.2
234-65-2137,Trans-Amadi,Port Harcourt,Normal,Male,Home and lifestyle,9558.00,10,4779.00,100359.00,1/16/2019,1:32:00 PM,Cash,95580.00,4.761904762,4779.00,4.8
459-50-7686,Ikeja,Lagos,Normal,Female,Electronic accessories,2346.00,6,703.80,14779.80,1/13/2019,7:14:00 PM,Ewallet,14076.00,4.761904762,703.80,6.4
523-38-0215,Trans-Amadi,Port Harcourt,Normal,Male,HOME AND LIFESTYLE   ,3700.00,1,185.00,3885.00,3/6/2019,1:29:00 PM,Credit card,3700.00,4.761904762,185.00,7.9
263-87-5680,Trans-Amadi,Port Harcourt,Member,Female,Home and lifestyle,2853.00,10,1426.50,29956.50,18-03-2019,5:38:00 PM,Ewallet,28530.00,4.761904762,1426.50,7.8
702-72-0487,Ikeja,Lagos,Normal,Female,ELECTRONIC ACCESSORIES   ,4661.00,2,466.10,9788.10,2/26/2019,12:28:00 PM,Credit card,9322.00,4.761904762,466.10,6.6
514-37-2845,Wuse,Abuja,Normal,Male,Fashion accessories,9925.00,2,992.50,20842.50,3/20/2019,1:02:00 PM,Cash,19850.00,4.761904762,992.50,9.0
346-12-3257,Wuse,Abuja,Member,Male,Electronic accessories,1924.00,9,865.80,18181.80,3/4/2019,4:28:00 PM,Cash,17316.00,4.761904762,865.80,8.0
810-60-6344,Trans-Amadi,Port Harcourt,Normal,Female,Electronic accessories,4086.00,8,1634.40,34322.40,2/7/2019,2:38:00 PM,Credit card,32688.00,4.761904762,1634.40,6.5
325-89-4209,Ikeja,Lagos,Member,Male,Food and beverages,8790.00,1,439.50,9229.50,2/5/2019,7:42:00 PM,Ewallet,8790.00,4.761904762,439.50,6.7
610-46-4100,Ikeja,Lagos,Normal,Male,Health and beauty,2895.00,7,1013.25,21278.25,3/3/2019,8:31:00 PM,Credit card,20265.00,4.761904762,1013.25,6.0
285-68-5083,Trans-Amadi,Port Harcourt,Member,Female,Sports and travel,2474.00,3,371.10,7793.10,2/15/2019,5:47:00 PM,Credit card,7422.00,4.761904762,371.10,10.0
667-92-0055,Ikeja,Lagos,Member,Male,Health and beauty,9983.00,6,2994.90,62892.90,3/4/2019,3:02:00 PM,Ewallet,59898.00,4.761904762,2994.90,8.5
268-20-3585,Trans-Amadi,Port Harcourt,Normal,Female,Health and beauty,1385.00,9,623.25,13088.25,2/4/2019,12:50:00 PM,Ewallet,12465.00,4.761904762,623.25,6.0
848-42-2560,Ikeja,Lagos,Normal,Female,Fashion accessories,8191.00,2,819.10,17201.10,3/5/2019,5:43:00 PM,Cash,16382.00,4.761904762,819.10,7.8
613-59-9758,Trans-Amadi,Port Harcourt,Normal,Female,Sports and travel,1436.00,10,718.00,15078.00,27-01-2019,2:28:00 PM,Cash,14360.00,4.761904762,718.00,5.4
516-77-6464,Trans-Amadi,Port Harcourt,Member,Female,Health and beauty,1016.00,5,254.00,5334.00,2/24/2019,1:08:00 PM,Ewallet,5080.00,4.761904762,254.00,
502-05-1910,Ikeja,Lagos,Normal,Male,Health and beauty,6518.00,3,977.70,20531.70,2/25/2019,8:35:00 PM,Credit card,19554.00,4.761904762,977.70,6.3
719-76-3868,Trans-Amadi,Port Harcourt,Member,Male,Food and beverages,9426.00,4,1885.20,39589.20,3/12/2019,4:30:00 PM,Cash,37704.00,4.761904762,1885.20,8.6
389-70-2397,Trans-Amadi,Port Harcourt,Normal,Female,Health and beauty,8366.00,5,2091.50,43921.50,2/21/2019,10:26:00 AM,Cash,41830.00,4.761904762,2091.50,7.2
636-48-8204,Ikeja,Lagos,Member,Female,Electronic accessories,3456.00,5,864.00,18144.00,2/17/2019,11:15:00 AM,Ewallet,17280.00,4.761904762,864.00,9.9
201-86-2184,Wuse,Abuja,Member,Female,Electronic accessories,2626.00,7,919.10,19301.10,2/2/2019,7:40:00 PM,Cash,18382.00,4.761904762,919.10,9.9
695-28-6250,Ikeja,Lagos,Normal,Female,Sports and travel,4306.00,5,1076.50,22606.50,2/4/2019,4:38:00 PM,Ewallet,21530.00,4.761904762,1076.50,7.7
866-05-7563,Wuse,Abuja,Member,Female,Electronic accessories,8140.00,3,1221.00,25641.00,2/9/2019,7:43:00 PM,Cash,24420.00,4.761904762,1221.00,4.8
372-94-8041,Ikeja,Lagos,Normal,Male,HEALTH AND BEAUTY   ,1526.00,6,457.80,9613.80,2/15/2019,6:03:00 PM,Ewallet,9156.00,4.761904762,457.80,9.8
559-61-5987,Wuse,Abuja,Normal,Female,Health and beauty,1775.00,1,88.75,1863.75,1/14/2019,10:38:00 AM,Cash,1775.00,4.761904762,88.75,8.6
641-43-2399,Wuse,Abuja,Normal,Male,Home and lifestyle,2555.00,4,511.00,10731.00,1/26/2019,8:23:00 PM,Ewallet,10220.00,4.761904762,511.00,5.7
541-08-3113,Trans-Amadi,Port Harcourt,Normal,Male,Food and beverages,6597.00,8,2638.80,55414.80,2/2/2019,8:29:00 PM,Cash,52776.00,4.761904762,2638.80,8.4
510-95-6347,Wuse,Abuja,Member,Female,Food and beverages,4852.00,3,727.80,15283.80,3/5/2019,6:17:00 PM,Ewallet,14556.00,4.761904762,727.80,4.0
189-52-0236,Ikeja,Lagos,Normal,Male,ELECTRONIC ACCESSORIES   ,9955.00,7,3484.25,73169.25,3/14/2019,12:07:00 PM,Cash,69685.00,4.761904762,3484.25,7.6
676-10-2200,Wuse,Abuja,Member,Male,Fashion accessories,5378.00,1,268.90,5646.90,2/3/2019,8:13:00 PM,Ewallet,5378.00,4.761904762,268.90,4.7
634-97-8956,Ikeja,Lagos,Normal,Male,Food and beverages,3290.00,3,493.50,10363.50,2/17/2019,5:27:00 PM,Credit card,9870.00,4.761904762,493.50,9.1
815-04-6282,Trans-Amadi,Port Harcourt,Member,Female,Sports and travel,6497.00,5,1624.25,34109.25,2/8/2019,12:52:00 PM,Credit card,32485.00,4.761904762,1624.25,6.5
895-03-6665,Wuse,Abuja,Normal,Female,Fashion accessories,3651.00,9,1642.95,34501.95,2/16/2019,10:52:00 AM,Cash,32859.00,4.761904762,1642.95,4.2
200-40-6154,Wuse,Abuja,Member,Male,Home and lifestyle,6591.00,-6,1977.30,41523.30,2/9/2019,11:45:00 AM,Cash,39546.00,4.761904762,1977.30,5.7
862-29-5914,Trans-Amadi,Port Harcourt,Normal,Female,Sports and travel,2238.00,1,111.90,2349.90,1/30/2019,5:08:00 PM,Credit card,2238.00,4.761904762,111.90,8.6
139-32-4183,Ikeja,Lagos,Member,Female,Sports and travel,9748.00,9,4386.60,92118.60,3/14/2019,2:19:00 PM,Ewallet,87732.00,4.761904762,4386.60,7.4
361-59-0574,Wuse,Abuja,Member,Male,Sports and travel,9053.00,8,3621.20,76045.20,3/15/2019,2:48:00 PM,Credit card,72424.00,4.761904762,3621.20,6.5
690-01-6631,Wuse,Abuja,Normal,Male,Fashion accessories,1749.00,10,874.50,18364.50,2/22/2019,6:35:00 PM,Ewallet,17490.00,4.761904762,874.50,6.6
437-53-3084,Wuse,Abuja,Normal,Male,Fashion accessories,9989.00,2,998.90,20976.90,2/26/2019,11:48:00 AM,Ewallet,19978.00,4.761904762,998.90,7.1
145-94-9061,Wuse,Abuja,Member,Female,Food and beverages,8836.00,5,2209.00,46389.00,1/25/2019,7:48:00 PM,Cash,44180.00,4.761904762,2209.00,9.6
277-63-2961,Wuse,Abuja,Member,Male,Sports and travel,7397.00,1,369.85,7766.85,2/3/2019,3:53:00 PM,Credit card,7397.00,4.761904762,369.85,5.4
845-94-6841,Trans-Amadi,Port Harcourt,Member,Female,Food and beverages,7288.00,9,3279.60,68871.60,1/8/2019,7:38:00 PM,Cash,65592.00,4.761904762,3279.60,4.0
628-34-3388,Trans-Amadi,Port Harcourt,Member,Female,Fashion accessories,2738.00,6,821.40,17249.40,1/5/2019,8:54:00 PM,Credit card,16428.00,4.761904762,821.40,7.9
832-51-6761,Ikeja,Lagos,Normal,Male,Food and beverages,3388.00,8,1355.20,28459.20,1/19/2019,8:29:00 PM,Ewallet,27104.00,4.761904762,1355.20,9.6
571-94-0759,Wuse,Abuja,Member,Female,Food and beverages,7460.00,10,3730.00,78330.00,1/8/2019,8:55:00 PM,Cash,74600.00,4.761904762,3730.00,9.5
136-08-6195,Ikeja,Lagos,Normal,Female,Home and lifestyle,6996.00,8,2798.40,58766.40,2/15/2019,5:01:00 PM,Credit card,55968.00,4.761904762,2798.40,6.4
730-50-9884,Trans-Amadi,Port Harcourt,Member,Female,Sports and travel,8306.00,7,2907.10,61049.10,05-03-2019,2:31:00 PM,Ewallet,58142.00,4.761904762,2907.10,4.0
356-44-8813,Wuse,Abuja,Normal,Male,Home and lifestyle,3748.00,3,562.20,11806.20,1/20/2019,1:45:00 PM,Credit card,11244.00,4.761904762,562.20,7.7
137-74-8729,Trans-Amadi,Port Harcourt,Normal,Female,Fashion accessories,1219.00,8,487.60,10239.60,3/13/2019,12:47:00 PM,Ewallet,9752.00,4.761904762,487.60,6.8
732-67-5346,Ikeja,Lagos,Normal,Male,Food and beverages,1379.00,5,344.75,7239.75,1/11/2019,7:07:00 PM,Credit card,6895.00,4.761904762,344.75,7.8
563-36-9814,Ikeja,Lagos,Member,Male,Electronic accessories,7682.00,1,384.10,8066.10,2/13/2019,6:27:00 PM,Ewallet,7682.00,4.761904762,384.10,7.2
365-64-0515,Ikeja,Lagos,Member,Female,Electronic accessories,4695.00,5,1173.75,24648.75,2/12/2019,10:25:00 AM,Ewallet,23475.00,4.761904762,1173.75,7.1
442-44-6497,Trans-Amadi,Port Harcourt,Member,Male,Home and lifestyle,5557.00,3,833.55,17504.55,1/8/2019,11:42:00 AM,Credit card,16671.00,4.761904762,833.55,5.9
789-23-8625,Wuse,Abuja,Member,Male,FASHION ACCESSORIES   ,9322.00,3,1398.30,29364.30,1/24/2019,11:45:00 AM,Cash,27966.00,4.761904762,1398.30,7.2
566-19-5475,Wuse,Abuja,Normal,Male,Fashion accessories,4797.00,7,1678.95,35257.95,1/7/2019,8:52:00 PM,Cash,33579.00,4.761904762,1678.95,6.2
410-67-1709,Ikeja,Lagos,Member,Female,Fashion accessories,6388.00,8,2555.20,53659.20,1/20/2019,5:48:00 PM,Ewallet,51104.00,4.761904762,2555.20,9.9
531-56-4728,Ikeja,Lagos,Normal,Male,Home and lifestyle,8008.00,3,1201.20,25225.20,2/11/2019,3:29:00 PM,Cash,24024.00,4.761904762,1201.20,5.4
525-09-8450,Wuse,Abuja,Normal,Male,Electronic accessories,7213.00,10,3606.50,75736.50,1/31/2019,3:12:00 PM,Credit card,72130.00,4.761904762,3606.50,4.2
277-35-5865,Trans-Amadi,Port Harcourt,Member,Female,Food and beverages,9897.00,9,4453.65,93526.65,3/9/2019,11:23:00 AM,Cash,89073.00,4.761904762,4453.65,6.7
659-36-1684,Trans-Amadi,Port Harcourt,Member,Female,Sports and travel,5712.00,7,1999.20,41983.20,1/12/2019,12:02:00 PM,Credit card,39984.00,4.761904762,1999.20,6.5
181-82-6255,Wuse,Abuja,Normal,Female,Home and lifestyle,1637.00,6,491.10,10313.10,2/8/2019,10:58:00 AM,Cash,9822.00,4.761904762,491.10,7.0
149-61-1929,Ikeja,Lagos,Normal,Male,Sports and travel,6419.00,10,3209.50,67399.50,1/19/2019,2:08:00 PM,Credit card,64190.00,4.761904762,3209.50,6.7
552-44-5977,Wuse,Abuja,Member,Male,Health and beauty,6200.00,8,2480.00,52080.00,1/3/2019,7:08:00 PM,Credit card,49600.00,4.761904762,2480.00,6.2
453-63-6187,Wuse,Abuja,Normal,Male,Electronic accessories,2750.00,3,412.50,8662.50,3/1/2019,3:40:00 PM,Ewallet,8250.00,4.761904762,412.50,6.5
220-68-6701,Ikeja,Lagos,Normal,Female,Home and lifestyle,7747.00,4,1549.40,32537.40,3/17/2019,4:36:00 PM,Cash,30988.00,4.761904762,1549.40,4.2
719-89-8991,Ikeja,Lagos,Member,Female,Sports and travel,9141.00,5,2285.25,47990.25,25-02-2019,4:03:00 PM,Ewallet,45705.00,4.761904762,2285.25,7.1
778-34-2523,Ikeja,Lagos,Member,Female,Electronic accessories,4862.00,8,1944.80,40840.80,1/24/2019,10:57:00 AM,Cash,38896.00,4.761904762,1944.80,5.0
845-51-0542,Wuse,Abuja,Member,Male,Food and beverages,4655.00,9,2094.75,43989.75,2/2/2019,3:34:00 PM,Ewallet,41895.00,4.761904762,2094.75,6.4
370-96-0655,Trans-Amadi,Port Harcourt,Normal,Female,Fashion accessories,4932.00,6,1479.60,31071.60,1/9/2019,1:46:00 PM,Ewallet,29592.00,4.761904762,1479.60,7.1
698-98-5964,Ikeja,Lagos,Normal,Female,Food and beverages,8121.00,10,4060.50,85270.50,1/17/2019,1:01:00 PM,Credit card,81210.00,4.761904762,4060.50,6.3
311-13-6971,Wuse,Abuja,Member,Male,SPORTS AND TRAVEL   ,3199.00,10,1599.50,33589.50,2/20/2019,3:18:00 PM,Credit card,31990.00,4.761904762,1599.50,9.9
632-90-0281,Trans-Amadi,Port Harcourt,Normal,Female,Fashion accessories,3755.00,10,1877.50,39427.50,3/8/2019,8:01:00 PM,Credit card,37550.00,4.761904762,1877.50,9.3
286-62-6248,Wuse,Abuja,Normal,Male,Fashion accessories,3921.00,4,784.20,16468.20,1/16/2019,8:03:00 PM,Credit card,15684.00,4.761904762,784.20,9.0
118-62-1812,Trans-Amadi,Port Harcourt,Member,Female,Home and lifestyle,7838.00,4,1567.60,32919.60,3/24/2019,5:56:00 PM,Cash,31352.00,4.761904762,1567.60,7.9
430-53-4718,Wuse,Abuja,Member,Male,Health and beauty,7537.00,8,3014.80,63310.80,1/28/2019,3:46:00 PM,Credit card,60296.00,4.761904762,3014.80,8.4
651-96-5970,Ikeja,Lagos,Normal,Male,Fashion accessories,4641.00,1,232.05,4873.05,3/3/2019,8:06:00 PM,Credit card,4641.00,4.761904762,232.05,4.0
816-72-8853,Ikeja,Lagos,Member,Female,Sports and travel,2793.00,5,698.25,14663.25,1/29/2019,3:48:00 PM,Cash,13965.00,4.761904762,698.25,5.9
234-36-2483,Wuse,Abuja,Normal,Male,Health and beauty,5759.00,6,1727.70,36281.70,2/15/2019,1:51:00 PM,Cash,34554.00,4.761904762,1727.70,5.1
333-23-2632,Ikeja,Lagos,Member,Male,Health and beauty,1008.00,7,352.80,7408.80,3/28/2019,8:14:00 PM,Cash,7056.00,4.761904762,352.80,4.2
484-22-8230,Trans-Amadi,Port Harcourt,Member,Female,Fashion accessories,5189.00,7,1816.15,38139.15,1/8/2019,8:08:00 PM,Cash,36323.00,4.761904762,1816.15,4.5
605-72-4132,Trans-Amadi,Port Harcourt,Normal,Female,Food and beverages,9447.00,8,3778.80,79354.80,2/27/2019,3:12:00 PM,Cash,75576.00,4.761904762,3778.80,9.1
232-16-2483,Trans-Amadi,Port Harcourt,Member,Female,Sports and travel,6812.00,1,340.60,7152.60,1/7/2019,12:28:00 PM,Ewallet,6812.00,4.761904762,340.60,6.8
699-01-4164,Trans-Amadi,Port Harcourt,Normal,Male,Health and beauty,4150.00,4,830.00,17430.00,3/12/2019,7:58:00 PM,Credit card,16600.00,4.761904762,830.00,8.2
744-09-5786,Wuse,Abuja,Normal,Male,Electronic accessories,2201.00,6,660.30,13866.30,1/2/2019,6:50:00 PM,Cash,13206.00,4.761904762,660.30,7.6
802-70-5316,Ikeja,Lagos,Member,Female,Sports and travel,9213.00,6,2763.90,58041.90,3/6/2019,8:34:00 PM,Cash,55278.00,4.761904762,2763.90,8.3
305-03-2383,Ikeja,Lagos,Normal,Female,Food and beverages,6710.00,3,1006.50,21136.50,2/15/2019,10:36:00 AM,Cash,20130.00,4.761904762,1006.50,7.5
428-83-5800,Trans-Amadi,Port Harcourt,Member,Female,Food and beverages,2108.00,3,316.20,6640.20,2/9/2019,10:25:00 AM,Cash,6324.00,4.761904762,316.20,7.3
400-45-1220,Wuse,Abuja,Normal,Female,Health and beauty,1350.00,10,675.00,14175.00,2/27/2019,11:06:00 AM,Credit card,13500.00,4.761904762,675.00,4.8
860-73-6466,Ikeja,Lagos,Member,Female,Sports and travel,3947.00,2,394.70,8288.70,3/2/2019,4:16:00 PM,Credit card,7894.00,4.761904762,394.70,5.0
120-06-4233,Trans-Amadi,Port Harcourt,Member,Female,Electronic accessories,3061.00,6,918.30,19284.30,3/12/2019,8:36:00 PM,Cash,18366.00,4.761904762,918.30,9.3
556-86-3144,Trans-Amadi,Port Harcourt,Member,Female,Fashion accessories,7429.00,1,371.45,7800.45,13-01-2019,7:30:00 PM,Cash,7429.00,4.761904762,371.45,5.0
198-84-7132,Wuse,Abuja,Member,Male,Fashion accessories,4061.00,9,1827.45,38376.45,1/2/2019,1:40:00 PM,Cash,36549.00,4.761904762,1827.45,7.0
390-80-5128,Wuse,Abuja,Member,Female,Health and beauty,1915.00,1,95.75,2010.75,1/28/2019,5:58:00 PM,Credit card,1915.00,4.761904762,95.75,9.5
602-80-9671,Trans-Amadi,Port Harcourt,Member,Female,Home and lifestyle,1595.00,6,478.50,10048.50,2/9/2019,5:15:00 PM,Credit card,9570.00,4.761904762,478.50,5.1
189-55-2313,Trans-Amadi,Port Harcourt,Normal,Female,Fashion accessories,6218.00,10,3109.00,65289.00,1/31/2019,10:33:00 AM,Ewallet,62180.00,4.761904762,3109.00,6.0
548-48-3156,Ikeja,Lagos,Member,Female,Food and beverages,8334.00,2,833.40,17501.40,3/19/2019,1:37:00 PM,Cash,16668.00,4.761904762,833.40,
727-17-0390,Ikeja,Lagos,Normal,Female,FOOD AND BEVERAGES   ,6361.00,5,1590.25,33395.25,3/16/2019,12:43:00 PM,Ewallet,31805.00,4.761904762,1590.25,4.8
142-63-6033,Wuse,Abuja,Normal,Male,HOME AND LIFESTYLE   ,9236.00,5,2309.00,48489.00,3/20/2019,7:17:00 PM,Ewallet,46180.00,4.761904762,2309.00,4.9
175-54-2529,Ikeja,Lagos,Member,Male,Food and beverages,2217.00,8,886.80,18622.80,3/3/2019,5:01:00 PM,Credit card,17736.00,4.761904762,886.80,9.6
710-46-4433,Wuse,Abuja,Member,Female,Food and beverages,7740.00,9,3483.00,73143.00,2/15/2019,2:15:00 PM,Credit card,69660.00,4.761904762,3483.00,4.5
636-17-0325,Wuse,Abuja,Normal,Male,Health and beauty,6257.00,4,1251.40,26279.40,2/25/2019,6:37:00 PM,Cash,25028.00,4.761904762,1251.40,9.5
871-39-9221,Trans-Amadi,Port Harcourt,Member,Female,Electronic accessories,1245.00,6,373.50,7843.50,2/9/2019,1:11:00 PM,Cash,7470.00,4.761904762,373.50,4.1
460-35-4390,Ikeja,Lagos,Normal,Male,Home and lifestyle,3068.00,3,460.20,9664.20,1/22/2019,11:00:00 AM,Ewallet,9204.00,4.761904762,460.20,9.1
133-77-3154,Wuse,Abuja,Member,Male,Fashion accessories,6018.00,4,1203.60,25275.60,2/16/2019,6:04:00 PM,Credit card,24072.00,4.761904762,1203.60,9.4
620-02-2046,Trans-Amadi,Port Harcourt,Normal,Male,HOME AND LIFESTYLE   ,6940.00,2,694.00,14574.00,1/27/2019,7:48:00 PM,Ewallet,13880.00,4.761904762,694.00,9.0
236-27-1144,Trans-Amadi,Port Harcourt,Normal,Female,Food and beverages,1631.00,9,733.95,15412.95,3/26/2019,10:31:00 AM,Ewallet,14679.00,4.761904762,733.95,8.4
