Application_ID,Application_Date,Branch_Region,Gender,Marital_Status,Dependents,Education,Employment_Type,Loan_Purpose,Monthly_Income_NGN,Coapplicant_Income_NGN,Loan_Amount_NGN,Loan_Term_Months,Credit_History,Loan_Status,Total_Household_Income_NGN,Loan_To_Income_Ratio,Application_Year
TBM3217,2024-08-25,Port Harcourt,Male,Single,1,Not Graduate,Salaried,Construction,265900,0,3275000.0,60.0,1.0,Rejected,265900,12.32,2024
TBM3108,2026-04-09,Lagos,Female,Married,1,Graduate,Self-Employed,Renovation,255400,0,3003000.0,180.0,1.0,Approved,255400,11.76,2026
TBM3050,2025-06-26,Lagos,Female,Married,1,Not Graduate,Self-Employed,Construction,438800,98800,5449000.0,120.0,1.0,Rejected,537600,10.14,2025
TBM3119,2025-02-21,Lagos,Male,Single,0,Not Graduate,Salaried,Land Acquisition,253300,0,2157000.0,180.0,0.0,Rejected,253300,8.52,2025
TBM3011,2025-03-06,Lagos,Male,Single,2,Graduate,Self-Employed,Renovation,150100,0,1569000.0,300.0,0.0,Approved,150100,10.45,2025
TBM3087,2026-02-26,Lagos,Female,Married,1,Not Graduate,Self-Employed,Land Acquisition,198400,0,4701000.0,120.0,1.0,Rejected,198400,23.69,2026
TBM3358,2025-08-26,Jos,Male,Single,1,Not Graduate,Self-Employed,Purchase,523600,0,6699000.0,180.0,0.0,Approved,523600,12.79,2025
TBM3247,2026-01-16,Kano,Female,Married,1,Graduate,Salaried,Construction,260000,46500,1693000.0,12.0,1.0,Approved,306500,5.52,2026
TBM3066,2026-07-13,Lagos,Female,Single,1,Not Graduate,Self-Employed,Renovation,818100,154400,8654000.0,360.0,1.0,Rejected,972500,8.9,2026
TBM3155,2024-10-04,Abuja,Female,Single,2,Graduate,Salaried,Land Acquisition,130500,0,311000.0,240.0,1.0,Approved,130500,2.38,2024
TBM3288,2026-03-03,Kano,Male,Single,2,Graduate,Salaried,Construction,209600,58700,2661000.0,300.0,1.0,Approved,268300,9.92,2026
TBM3272,2026-05-06,Kano,Male,Single,3+,Graduate,Salaried,Construction,155900,0,1749000.0,36.0,0.0,Rejected,155900,11.22,2026
TBM3195,2025-11-24,Abuja,Female,Married,2,Not Graduate,Salaried,Land Acquisition,125700,0,1700000.0,300.0,1.0,Approved,125700,13.52,2025
TBM3367,2024-12-26,Jos,Male,Single,1,Graduate,Salaried,Purchase,221400,0,3158000.0,240.0,1.0,Approved,221400,14.26,2024
TBM3286,2026-06-27,Kano,Male,Married,0,Graduate,Salaried,Working Capital,208800,0,3021000.0,240.0,1.0,Approved,208800,14.47,2026
TBM3331,2026-05-05,Ibadan,Female,Married,1,Graduate,Salaried,Construction,118600,0,300000.0,180.0,0.0,Rejected,118600,2.53,2026
TBM3051,2025-08-22,Lagos,Male,Married,1,Graduate,Self-Employed,Construction,475400,0,9541000.0,300.0,1.0,Approved,475400,20.07,2025
TBM3064,2026-06-11,Lagos,Male,Married,0,Not Graduate,Salaried,Purchase,249100,100900,2798000.0,240.0,1.0,Approved,350000,7.99,2026
TBM3306,2026-02-04,Ibadan,Female,Married,1,Graduate,Salaried,Construction,182500,0,923000.0,240.0,0.0,Approved,182500,5.06,2026
TBM3283,2026-01-12,Kano,Male,Married,0,Not Graduate,Self-Employed,Purchase,58500,0,2559000.0,240.0,1.0,Approved,58500,43.74,2026
TBM3029,2024-09-26,Lagos,Female,Married,1,Not Graduate,Salaried,Construction,190800,0,1334000.0,120.0,1.0,Approved,190800,6.99,2024
TBM3254,2024-11-27,Kano,Male,Single,3+,Graduate,Salaried,Purchase,421400,76700,3379000.0,300.0,1.0,Approved,498100,6.78,2024
TBM3297,2025-04-25,Ibadan,Female,Married,2,Graduate,Salaried,Purchase,211800,0,2387000.0,240.0,0.0,Approved,211800,11.27,2025
TBM3126,2025-11-08,Lagos,Male,Married,1,Not Graduate,Self-Employed,Working Capital,90000,0,300000.0,180.0,1.0,Approved,90000,3.33,2025
TBM3114,2025-02-07,Lagos,Male,Married,3+,Graduate,Salaried,Renovation,419400,0,4356000.0,120.0,1.0,Approved,419400,10.39,2025
TBM3320,2026-01-17,Ibadan,Male,Single,2,Graduate,Salaried,Renovation,180700,0,330000.0,36.0,1.0,Rejected,180700,1.83,2026
TBM3082,2025-01-09,Lagos,Female,Single,2,Graduate,Self-Employed,Construction,158500,0,1087000.0,300.0,1.0,Approved,158500,6.86,2025
TBM3038,2026-06-03,Lagos,Male,Married,2,Graduate,Salaried,Construction,230200,0,3156000.0,36.0,1.0,Approved,230200,13.71,2026
TBM3301,2025-07-05,Ibadan,Female,Married,0,Graduate,Salaried,Working Capital,187200,76000,3984000.0,240.0,0.0,Approved,263200,15.14,2025
TBM3143,2025-11-19,Abuja,Female,Single,0,Not Graduate,Self-Employed,Renovation,152800,168300,300000.0,180.0,1.0,Rejected,321100,0.93,2025
TBM3234,2025-10-23,Port Harcourt,Female,Single,0,Graduate,Salaried,Purchase,304500,0,2634000.0,12.0,1.0,Approved,304500,8.65,2025
TBM3101,2026-06-03,Lagos,Male,Single,1,Graduate,Salaried,Construction,240200,66000,2117000.0,240.0,1.0,Approved,306200,6.91,2026
TBM3318,2025-08-02,Ibadan,Female,Single,0,Graduate,Salaried,Construction,164900,0,300000.0,240.0,1.0,Approved,164900,1.82,2025
TBM3145,2026-07-19,Abuja,Male,Married,0,Graduate,Self-Employed,Renovation,119800,81900,958000.0,180.0,0.0,Approved,201700,4.75,2026
TBM3209,2026-04-27,Port Harcourt,Male,Married,0,Graduate,Self-Employed,Working Capital,267800,0,5801000.0,240.0,0.0,Approved,267800,21.66,2026
TBM3137,2026-07-08,Abuja,Female,Single,2,Graduate,Salaried,Construction,170700,125600,1757000.0,240.0,0.0,Rejected,296300,5.93,2026
TBM3052,2026-06-16,Lagos,Female,Married,2,Graduate,Salaried,Land Acquisition,241600,146700,1215000.0,240.0,1.0,Approved,388300,3.13,2026
TBM3290,2026-04-08,Kano,Female,Single,2,Not Graduate,Salaried,Purchase,141600,154000,2313000.0,240.0,0.0,Approved,295600,7.82,2026
TBM3315,2026-07-14,Ibadan,Male,Single,0,Graduate,Salaried,Purchase,212500,81700,300000.0,180.0,0.0,Approved,294200,1.02,2026
TBM3085,2026-07-18,Lagos,Female,Married,1,Graduate,Salaried,Construction,173000,0,2334000.0,180.0,1.0,Approved,173000,13.49,2026
TBM3016,2024-08-09,Lagos,Male,Married,1,Not Graduate,Self-Employed,Purchase,104400,0,2986000.0,180.0,1.0,Approved,104400,28.6,2024
TBM3314,2024-12-26,Ibadan,Male,Single,0,Graduate,Salaried,Renovation,191400,0,2399000.0,240.0,1.0,Approved,191400,12.53,2024
TBM3264,2026-06-04,Kano,Female,Single,1,Graduate,Self-Employed,Construction,147600,59900,1461000.0,60.0,1.0,Approved,207500,7.04,2026
TBM3312,2025-01-15,Ibadan,Male,Single,3+,Graduate,Salaried,Renovation,294000,0,2427000.0,60.0,1.0,Approved,294000,8.26,2025
TBM3037,2026-02-23,Lagos,Female,Single,1,Graduate,Salaried,Land Acquisition,129600,100300,797000.0,240.0,1.0,Approved,229900,3.47,2026
TBM3097,2025-03-14,Lagos,Male,Married,2,Graduate,Salaried,Construction,317800,112400,2189000.0,120.0,1.0,Approved,430200,5.09,2025
TBM3226,2025-04-17,Port Harcourt,Female,Single,0,Not Graduate,Self-Employed,Purchase,370500,105900,3311000.0,12.0,1.0,Approved,476400,6.95,2025
TBM3102,2026-07-23,Lagos,Male,Single,0,Graduate,Self-Employed,Purchase,332900,107000,3146000.0,240.0,1.0,Approved,439900,7.15,2026
TBM3242,2026-02-23,Kano,Male,Married,1,Not Graduate,Self-Employed,Working Capital,327200,0,6600000.0,300.0,1.0,Approved,327200,20.17,2026
TBM3289,2026-03-15,Kano,Male,Married,0,Not Graduate,Salaried,Purchase,255900,0,1884000.0,360.0,1.0,Approved,255900,7.36,2026
TBM3281,2024-12-16,Kano,Female,Married,2,Graduate,Not Stated,Renovation,575400,0,4927000.0,36.0,1.0,Approved,575400,8.56,2024
TBM3200,2025-04-11,Abuja,Female,Married,2,Graduate,Salaried,Purchase,211900,0,3206000.0,360.0,1.0,Rejected,211900,15.13,2025
TBM3165,2025-03-15,Abuja,Female,Married,0,Not Graduate,Salaried,Construction,247500,0,2850000.0,240.0,1.0,Approved,247500,11.52,2025
TBM3173,2025-01-09,Abuja,Female,Married,0,Graduate,Salaried,Working Capital,328300,0,2818000.0,180.0,1.0,Approved,328300,8.58,2025
TBM3212,2026-04-17,Port Harcourt,Male,Single,1,Not Graduate,Salaried,Purchase,139000,184100,2046000.0,120.0,1.0,Approved,323100,6.33,2026
TBM3007,2024-09-11,Lagos,Female,Single,0,Graduate,Self-Employed,Purchase,356900,75500,4686000.0,360.0,0.0,Approved,432400,10.84,2024
TBM3263,2024-12-20,Kano,Male,Single,0,Graduate,Self-Employed,Purchase,187500,0,300000.0,240.0,1.0,Approved,187500,1.6,2024
TBM3223,2025-04-21,Port Harcourt,Male,Married,0,Graduate,Self-Employed,Construction,76200,0,300000.0,240.0,1.0,Approved,76200,3.94,2025
TBM3380,2025-06-07,Jos,Male,Married,0,Graduate,Salaried,Renovation,277400,45700,3974000.0,240.0,1.0,Approved,323100,12.3,2025
TBM3351,2026-03-25,Jos,Male,Single,1,Not Graduate,Salaried,Construction,264600,177000,2214000.0,36.0,1.0,Approved,441600,5.01,2026
TBM3330,2025-04-25,Ibadan,Female,Single,0,Graduate,Self-Employed,Construction,157700,0,1701000.0,360.0,1.0,Approved,157700,10.79,2025
TBM3112,2024-09-04,Lagos,Male,Married,0,Not Graduate,Salaried,Construction,145500,92500,2370000.0,180.0,1.0,Approved,238000,9.96,2024
TBM3260,2026-05-10,Kano,Female,Married,2,Graduate,Self-Employed,Construction,289400,0,1489000.0,240.0,1.0,Approved,289400,5.15,2026
TBM3210,2026-05-09,Port Harcourt,Male,Married,1,Graduate,Salaried,Construction,209500,110900,5064000.0,360.0,1.0,Rejected,320400,15.81,2026
TBM3164,2024-10-18,Abuja,Female,Single,0,Graduate,Self-Employed,Purchase,400900,101900,5785000.0,180.0,1.0,Approved,502800,11.51,2024
TBM3013,2025-02-03,Lagos,Male,Married,0,Graduate,Salaried,Construction,249000,0,2256000.0,120.0,0.0,Rejected,249000,9.06,2025
TBM3178,2026-07-16,Abuja,Male,Single,0,Graduate,Self-Employed,Purchase,176200,0,3313000.0,60.0,1.0,Approved,176200,18.8,2026
TBM3337,2024-08-26,Ibadan,Male,Married,0,Graduate,Self-Employed,Construction,253300,69500,3211000.0,60.0,1.0,Approved,322800,9.95,2024
TBM3221,2025-02-12,Port Harcourt,Female,Single,2,Graduate,Salaried,Construction,165200,0,3113000.0,12.0,1.0,Approved,165200,18.84,2025
TBM3045,2025-06-09,Lagos,Female,Married,1,Graduate,Salaried,Purchase,249500,0,3060000.0,120.0,1.0,Approved,249500,12.26,2025
TBM3244,2025-07-11,Kano,Female,Married,1,Graduate,Salaried,Construction,222600,0,3293000.0,12.0,1.0,Approved,222600,14.79,2025
TBM3142,2025-09-03,Abuja,Male,Married,0,Graduate,Salaried,Renovation,232800,97900,1884000.0,360.0,1.0,Approved,330700,5.7,2025
TBM3180,2026-01-20,Abuja,Male,Married,0,Graduate,Salaried,Construction,188900,0,1151000.0,360.0,1.0,Approved,188900,6.09,2026
TBM3168,2025-09-16,Abuja,Female,Married,0,Graduate,Salaried,Land Acquisition,111700,0,1547000.0,360.0,1.0,Approved,111700,13.85,2025
TBM3005,2025-03-23,Lagos,Male,Married,1,Not Graduate,Self-Employed,Renovation,673600,0,5388000.0,180.0,1.0,Rejected,673600,8.0,2025
TBM3003,2025-04-10,Lagos,Male,Married,1,Graduate,Salaried,Land Acquisition,219300,0,2109000.0,240.0,0.0,Approved,219300,9.62,2025
TBM3293,2026-05-21,Kano,Female,Single,1,Not Graduate,Salaried,Working Capital,175300,0,1600000.0,300.0,1.0,Approved,175300,9.13,2026
TBM3163,2025-05-14,Abuja,Male,Married,1,Graduate,Salaried,Construction,331900,220800,2446000.0,180.0,1.0,Approved,552700,4.43,2025
TBM3213,2026-03-24,Port Harcourt,Not Stated,Married,0,Not Graduate,Salaried,Purchase,147800,0,300000.0,120.0,1.0,Approved,147800,2.03,2026
TBM3197,2024-09-06,Abuja,Male,Single,0,Graduate,Self-Employed,Construction,71100,0,392000.0,36.0,0.0,Approved,71100,5.51,2024
TBM3302,2024-08-16,Ibadan,Male,Married,2,Not Graduate,Salaried,Purchase,105600,43700,300000.0,360.0,1.0,Approved,149300,2.01,2024
TBM3192,2025-02-15,Abuja,Male,Single,0,Graduate,Salaried,Purchase,149000,0,1589000.0,60.0,1.0,Approved,149000,10.66,2025
TBM3265,2026-04-03,Kano,Male,Married,0,Not Graduate,Salaried,Land Acquisition,159500,0,3417000.0,240.0,1.0,Rejected,159500,21.42,2026
TBM3248,2024-09-28,Kano,Not Stated,Single,0,Not Graduate,Self-Employed,Renovation,224400,180900,3303000.0,240.0,1.0,Approved,405300,8.15,2024
TBM3191,2025-06-24,Abuja,Male,Married,1,Graduate,Salaried,Land Acquisition,185700,118700,1460000.0,180.0,0.0,Approved,304400,4.8,2025
TBM3205,2025-11-08,Port Harcourt,Male,Single,0,Graduate,Self-Employed,Construction,201800,57900,2363000.0,300.0,1.0,Approved,259700,9.1,2025
TBM3385,2024-12-07,Jos,Female,Single,3+,Graduate,Salaried,Construction,182700,117000,2041000.0,120.0,1.0,Approved,299700,6.81,2024
TBM3379,2026-05-25,Jos,Female,Single,1,Graduate,Salaried,Construction,236200,0,2254000.0,36.0,1.0,Rejected,236200,9.54,2026
TBM3218,2026-02-17,Port Harcourt,Male,Married,1,Graduate,Self-Employed,Construction,221800,55500,2612000.0,120.0,1.0,Approved,277300,9.42,2026
TBM3116,2025-03-09,Lagos,Male,Married,1,Not Graduate,Salaried,Land Acquisition,236900,46100,300000.0,360.0,1.0,Approved,283000,1.06,2025
TBM3025,2024-09-02,Lagos,Not Stated,Married,2,Graduate,Salaried,Construction,111500,0,2122000.0,240.0,0.0,Approved,111500,19.03,2024
TBM3044,2025-10-02,Lagos,Male,Single,0,Not Graduate,Salaried,Purchase,233500,0,1535000.0,300.0,0.0,Approved,233500,6.57,2025
TBM3382,2026-06-20,Jos,Male,Single,1,Not Graduate,Self-Employed,Construction,205100,59700,2092000.0,240.0,1.0,Rejected,264800,7.9,2026
TBM3252,2025-08-14,Kano,Female,Married,1,Not Graduate,Salaried,Purchase,112400,0,2671000.0,180.0,0.0,Approved,112400,23.76,2025
TBM3384,2026-07-10,Jos,Female,Married,2,Graduate,Self-Employed,Construction,162300,185300,5800000.0,360.0,0.0,Rejected,347600,16.69,2026
TBM3282,2026-07-11,Kano,Not Stated,Married,1,Not Graduate,Self-Employed,Purchase,261600,0,3712000.0,240.0,1.0,Approved,261600,14.19,2026
TBM3357,2025-04-22,Jos,Male,Married,1,Not Graduate,Salaried,Purchase,226100,0,2846000.0,300.0,1.0,Approved,226100,12.59,2025
TBM3125,2026-06-15,Lagos,Female,Married,0,Graduate,Self-Employed,Construction,171900,0,300000.0,240.0,1.0,Approved,171900,1.75,2026
TBM3215,2024-10-14,Port Harcourt,Female,Single,0,Not Graduate,Self-Employed,Construction,323600,0,3667000.0,300.0,1.0,Approved,323600,11.33,2024
TBM3294,2026-07-25,Kano,Female,Married,2,Not Graduate,Salaried,Renovation,257900,139700,300000.0,120.0,1.0,Rejected,397600,0.75,2026
TBM3246,2025-04-21,Kano,Female,Married,0,Graduate,Salaried,Construction,244700,0,2127000.0,240.0,1.0,Approved,244700,8.69,2025
TBM3027,2025-12-07,Lagos,Female,Married,0,Graduate,Salaried,Construction,166500,0,2078000.0,240.0,1.0,Approved,166500,12.48,2025
TBM3214,2025-06-21,Port Harcourt,Male,Single,1,Graduate,Salaried,Renovation,233800,78300,300000.0,120.0,0.0,Approved,312100,0.96,2025
TBM3113,2026-05-16,Lagos,Male,Married,3+,Graduate,Salaried,Land Acquisition,239300,68400,300000.0,36.0,1.0,Approved,307700,0.97,2026
TBM3336,2024-09-25,Ibadan,Female,Single,1,Graduate,Salaried,Construction,116100,0,399000.0,180.0,1.0,Approved,116100,3.44,2024
TBM3206,2026-05-05,Port Harcourt,Male,Single,2,Not Graduate,Salaried,Land Acquisition,209700,0,2609000.0,12.0,0.0,Rejected,209700,12.44,2026
TBM3028,2025-09-26,Lagos,Male,Married,0,Not Graduate,Self-Employed,Working Capital,368300,81100,3868000.0,240.0,0.0,Rejected,449400,8.61,2025
TBM3208,2026-06-25,Port Harcourt,Female,Single,2,Graduate,Salaried,Construction,201000,0,3347000.0,240.0,1.0,Approved,201000,16.65,2026
TBM3111,2026-06-07,Lagos,Female,Married,2,Graduate,Salaried,Construction,209800,119800,3659000.0,300.0,1.0,Approved,329600,11.1,2026
TBM3366,2026-06-24,Jos,Female,Married,1,Graduate,Salaried,Land Acquisition,189900,89800,2637000.0,36.0,1.0,Approved,279700,9.43,2026
TBM3057,2025-01-09,Lagos,Male,Married,1,Graduate,Salaried,Purchase,168300,0,1204000.0,300.0,1.0,Approved,168300,7.15,2025
TBM3149,2025-11-26,Abuja,Female,Married,0,Not Graduate,Self-Employed,Working Capital,136400,0,2656000.0,120.0,1.0,Approved,136400,19.47,2025
TBM3088,2026-03-08,Lagos,Female,Single,2,Graduate,Self-Employed,Purchase,263900,0,2254000.0,180.0,1.0,Approved,263900,8.54,2026
TBM3091,2025-12-19,Lagos,Male,Married,0,Graduate,Salaried,Purchase,123700,26300,300000.0,36.0,0.0,Approved,150000,2.0,2025
TBM3098,2026-07-02,Lagos,Male,Married,0,Graduate,Salaried,Construction,260500,49900,2690000.0,240.0,1.0,Approved,310400,8.67,2026
TBM3059,2025-04-26,Lagos,Male,Single,1,Graduate,Salaried,Purchase,201200,27700,3775000.0,12.0,1.0,Approved,228900,16.49,2025
TBM3117,2026-05-26,Lagos,Female,Married,0,Graduate,Salaried,Construction,152000,0,1910000.0,180.0,1.0,Approved,152000,12.57,2026
TBM3070,2025-04-26,Lagos,Male,Married,1,Graduate,Self-Employed,Working Capital,324600,38900,1405000.0,360.0,1.0,Approved,363500,3.87,2025
TBM3354,2024-08-23,Jos,Male,Married,2,Graduate,Salaried,Working Capital,183500,0,2602000.0,300.0,0.0,Approved,183500,14.18,2024
TBM3383,2025-11-11,Jos,Male,Single,2,Not Graduate,Not Stated,Purchase,378700,108700,2316000.0,240.0,1.0,Approved,487400,4.75,2025
TBM3363,2026-07-21,Jos,Male,Single,2,Graduate,Salaried,Construction,85000,80300,2877000.0,300.0,0.0,Rejected,165300,17.4,2026
TBM3287,2025-03-26,Kano,Male,Single,0,Graduate,Salaried,Purchase,249700,0,1561000.0,240.0,1.0,Approved,249700,6.25,2025
TBM3167,2025-06-03,Abuja,Female,Married,0,Graduate,Salaried,Construction,254700,60400,4257000.0,240.0,1.0,Approved,315100,13.51,2025
TBM3276,2026-06-02,Kano,Female,Married,0,Graduate,Salaried,Construction,228000,81500,4787000.0,240.0,1.0,Approved,309500,15.47,2026
TBM3041,2024-09-21,Lagos,Female,Married,2,Not Graduate,Self-Employed,Purchase,385700,70100,4568000.0,180.0,1.0,Approved,455800,10.02,2024
TBM3092,2026-06-06,Lagos,Male,Married,1,Not Graduate,Salaried,Construction,241600,0,1435000.0,240.0,0.0,Rejected,241600,5.94,2026
TBM3135,2026-06-19,Abuja,Female,Married,0,Graduate,Salaried,Purchase,179600,189700,2714000.0,300.0,1.0,Approved,369300,7.35,2026
TBM3307,2025-01-13,Ibadan,Female,Single,2,Not Graduate,Salaried,Construction,137800,84400,2312000.0,300.0,0.0,Approved,222200,10.41,2025
TBM3103,2025-08-12,Lagos,Female,Single,2,Graduate,Salaried,Renovation,200200,161500,1382000.0,240.0,1.0,Approved,361700,3.82,2025
TBM3261,2026-03-26,Kano,Female,Married,0,Not Graduate,Self-Employed,Construction,129200,0,1180000.0,120.0,1.0,Rejected,129200,9.13,2026
TBM3236,2024-08-11,Port Harcourt,Male,Single,0,Not Graduate,Salaried,Purchase,248200,0,5250000.0,120.0,0.0,Rejected,248200,21.15,2024
TBM3171,2026-04-17,Abuja,Male,Married,0,Graduate,Salaried,Land Acquisition,168200,49700,901000.0,240.0,1.0,Approved,217900,4.13,2026
TBM3352,2026-07-19,Jos,Female,Single,1,Graduate,Salaried,Construction,203800,0,1559000.0,240.0,1.0,Approved,203800,7.65,2026
TBM3375,2025-07-08,Jos,Male,Single,0,Graduate,Salaried,Land Acquisition,224500,58100,1129000.0,240.0,1.0,Approved,282600,4.0,2025
TBM3378,2024-10-20,Jos,Male,Married,0,Graduate,Salaried,Renovation,223600,0,1711000.0,180.0,1.0,Approved,223600,7.65,2024
TBM3360,2026-05-24,Jos,Male,Married,1,Graduate,Salaried,Purchase,260000,101900,2977000.0,360.0,1.0,Approved,361900,8.23,2026
TBM3346,2025-09-03,Jos,Male,Married,3+,Not Graduate,Self-Employed,Construction,240500,75400,2463000.0,120.0,1.0,Approved,315900,7.8,2025
TBM3073,2024-10-26,Lagos,Female,Single,0,Graduate,Self-Employed,Renovation,440300,0,4310000.0,240.0,0.0,Rejected,440300,9.79,2024
TBM3121,2025-06-14,Lagos,Male,Single,0,Graduate,Salaried,Land Acquisition,280600,137300,3928000.0,36.0,1.0,Approved,417900,9.4,2025
TBM3077,2025-08-16,Lagos,Female,Married,1,Not Graduate,Salaried,Land Acquisition,212400,0,2995000.0,60.0,0.0,Rejected,212400,14.1,2025
TBM3325,2026-05-16,Ibadan,Male,Married,1,Graduate,Salaried,Construction,156200,0,1769000.0,120.0,0.0,Rejected,156200,11.33,2026
TBM3308,2026-01-26,Ibadan,Male,Single,0,Not Graduate,Self-Employed,Purchase,155700,0,1291000.0,240.0,1.0,Approved,155700,8.29,2026
TBM3043,2026-01-06,Lagos,Male,Single,1,Not Graduate,Self-Employed,Construction,342600,0,5178000.0,120.0,1.0,Approved,342600,15.11,2026
TBM3034,2026-06-11,Lagos,Male,Married,3+,Graduate,Salaried,Land Acquisition,254400,0,3758000.0,360.0,1.0,Approved,254400,14.77,2026
TBM3259,2025-06-18,Kano,Male,Married,0,Not Graduate,Self-Employed,Purchase,117300,0,2856000.0,120.0,0.0,Rejected,117300,24.35,2025
TBM3157,2026-04-06,Abuja,Male,Married,0,Not Graduate,Salaried,Renovation,318700,0,2101000.0,180.0,1.0,Rejected,318700,6.59,2026
TBM3359,2025-09-05,Jos,Male,Single,2,Graduate,Salaried,Renovation,252500,0,3959000.0,360.0,1.0,Approved,252500,15.68,2025
TBM3201,2025-12-22,Port Harcourt,Not Stated,Married,1,Graduate,Salaried,Purchase,126500,0,2430000.0,240.0,1.0,Approved,126500,19.21,2025
TBM3273,2026-05-07,Kano,Male,Married,2,Not Graduate,Salaried,Purchase,123300,116100,1954000.0,240.0,1.0,Approved,239400,8.16,2026
TBM3055,2026-04-10,Lagos,Female,Married,1,Graduate,Self-Employed,Renovation,108500,0,1895000.0,120.0,1.0,Approved,108500,17.47,2026
TBM3317,2026-01-19,Ibadan,Female,Married,3+,Graduate,Self-Employed,Purchase,159700,0,3083000.0,360.0,1.0,Approved,159700,19.3,2026
TBM3159,2026-02-24,Abuja,Male,Married,0,Graduate,Self-Employed,Purchase,87600,0,1695000.0,300.0,1.0,Approved,87600,19.35,2026
TBM3067,2026-04-04,Lagos,Female,Married,3+,Graduate,Salaried,Construction,365300,0,3461000.0,180.0,0.0,Approved,365300,9.47,2026
TBM3310,2025-03-19,Ibadan,Female,Married,1,Graduate,Salaried,Working Capital,174200,0,1236000.0,60.0,0.0,Approved,174200,7.1,2025
TBM3104,2026-03-14,Lagos,Female,Married,2,Graduate,Salaried,Purchase,274900,62900,3701000.0,360.0,1.0,Approved,337800,10.96,2026
TBM3347,2025-10-18,Jos,Male,Married,0,Graduate,Not Stated,Working Capital,187900,0,2814000.0,300.0,1.0,Approved,187900,14.98,2025
TBM3361,2025-11-13,Jos,Male,Married,3+,Graduate,Salaried,Purchase,149100,0,759000.0,12.0,1.0,Rejected,149100,5.09,2025
TBM3010,2026-06-16,Lagos,Male,Single,0,Not Graduate,Salaried,Purchase,370600,0,4549000.0,120.0,1.0,Approved,370600,12.27,2026
TBM3187,2025-05-09,Abuja,Female,Married,3+,Not Graduate,Salaried,Purchase,179700,0,1946000.0,300.0,1.0,Approved,179700,10.83,2025
TBM3065,2026-06-28,Lagos,Male,Not Stated,1,Graduate,Self-Employed,Purchase,257400,59700,3341000.0,300.0,1.0,Approved,317100,10.54,2026
