Application_ID,Application_Date,Branch_Region,Gender,Marital_Status,Dependents,Education,Employment_Type,Loan_Purpose,Monthly_Income_NGN,Coapplicant_Income_NGN,Loan_Amount_NGN,Loan_Term_Months,Credit_History,Loan_Status
TBM3306,2026-02-04,Ibadan,Female,Married,1,Graduate,Salaried,Construction,182500,0,923000.0,240.0,0.0,Approved
TBM3283,2026-01-12,Kano,Male,Married,0,Not Graduate,Self-Employed,Purchase,58500,0,2559000.0,240.0,1.0,Approved
TBM3344,2024-12-20,Jos,Male,Married,0,Not Graduate,Salaried,Construction,275800,159400,755000.0,12.0,,Rejected
TBM3029,26/09/2024,Lagos,Female,Married,1,Not Graduate,Salaried,Construction,190800,0,1334000.0,120.0,1.0,Approved
TBM3254,2024-11-27,Kano,Male,Single,3+,Graduate,Salaried,Purchase,421400,76700,3379000.0,300.0,1.0,Approved
TBM3297,2025-04-25,Ibadan,Female,Married,2,Graduate,Salaried,Purchase,211800,0,2387000.0,240.0,0.0,Approved
TBM3126,2025-11-08,Lagos,Male,Married,1,Not Graduate,Self-Employed,Working Capital,90000,0,300000.0,180.0,1.0,Approved
TBM3114,2025-02-07,Lagos,Male,Married,3+,Graduate,Salaried,Renovation,419400,0,4356000.0,120.0,1.0,Approved
TBM3320,17-Jan-2026,Ibadan,Male,Single,2,Graduate,Salaried,Renovation,180700,0,330000.0,36.0,1.0,Rejected
TBM3082,2025-01-09,Lagos,Female,Single,2,Graduate,Self-Employed,Construction,158500,0,1087000.0,300.0,1.0,Approved
TBM3038,03/06/2026,Lagos,Male,Married,2,Graduate,Salaried,Construction,230200,0,3156000.0,36.0,1.0,Approved
TBM3172,2024-12-28,Abuja,Female,Married,1,Not Graduate,Self-Employed,Purchase,443800,0,3787000.0,360.0,,Rejected
TBM3301,2025-07-05,Ibadan,Female,Married,0,Graduate,Salaried,Working Capital,187200,76000,3984000.0,240.0,0.0,Approved
TBM3047,14-Jul-2025,Lagos,Female,Single,3+,Not Graduate,Salaried,Construction,234600,0,2353000.0,12.0,,Approved
TBM3143,2025-11-19,Abuja,Female,Single,0,Not Graduate,Self-Employed,Renovation,152800,168300,300000.0,180.0,1.0,Rejected
TBM3234,2025-10-23,PORT HARCOURT,Female,Single,0,graduate,Salaried,Purchase,304500,0,2634000.0,12.0,1.0,Approved
TBM3101,03-Jun-2026,Lagos,Male,Single,1,Graduate,Salaried,Construction,240200,66000,2117000.0,240.0,1.0,Approved
TBM3318,02-Aug-2025,Ibadan,Female,Single,0,Graduate,Salaried,Construction,164900,0,300000.0,240.0,1.0,Approved
TBM3145,19-Jul-2026,Abuja,Male,Married,0,Graduate,Self-Employed,Renovation,119800,81900,958000.0,180.0,0.0,Approved
TBM3100,14-Sep-2024,Lagos,Male,Married,3+,Graduate,Self-Employed,Renovation,291700,66400,1552000.0,180.0,,Approved
TBM3209,27-Apr-2026,Port Harcourt,Male,Married,0,Graduate,Self-Employed,Working Capital,267800,0,5801000.0,240.0,0.0,Approved
TBM3137,08-Jul-2026,Abuja,Female,Single,2,Graduate,Salaried,Construction,170700,125600,1757000.0,240.0,0.0,Rejected
TBM3368,23/10/2025,Jos,,Single,2,Graduate,Salaried,Purchase,124100,72700,929000.0,300.0,,Rejected
TBM3052,16-Jun-2026,Lagos,Female,Married,2,Graduate,Salaried,Land Acquisition ,-241600,146700,1215000.0,240.0,1.0,Approved
TBM3290,2026-04-08,Kano,Female,Single,2,Not Graduate,Salaried,Purchase,141600,154000,2313000.0,240.0,0.0,Approved
TBM3315,14/07/2026,Ibadan,Male,Single,0,Graduate,Salaried,Purchase,212500,81700,300000.0,180.0,0.0,Approved
TBM3085,2026-07-18,Lagos,Female,Married,1,Graduate,Salaried,Construction,173000,0,2334000.0,180.0,1.0,Approved
TBM3016,2024-08-09,Lagos,Male,Married,1,Not Graduate,Self-Employed,Purchase,104400,0,2986000.0,180.0,1.0,Approved
TBM3314,26-Dec-2024,Ibadan,Male,Single,0,Graduate,Salaried,Renovation,191400,0,2399000.0,240.0,1.0,Approved
TBM3264,04-Jun-2026,Kano,Female,Single,1,Graduate,Self-Employed,Construction,147600,59900,1461000.0,60.0,1.0,Approved
TBM3312,15/01/2025,Ibadan,Male,Single,3+,Graduate,Salaried,Renovation,294000,0,2427000.0,60.0,1.0,Approved
TBM3122,2026-07-17,Lagos,Male,Single,2,Not Graduate,Self-Employed,Construction,176900,36000,4202000.0,60.0,,Rejected
TBM3037,23/02/2026,Lagos,Female,S,1,Graduate,Salaried,Land Acquisition,129600,100300,797000.0,240.0,1.0,Approved
TBM3097,14-Mar-2025,Lagos,Male,Married,2,Graduate,Salaried,Construction,317800,112400,2189000.0,120.0,1.0,Approved
TBM3226,17-Apr-2025,Port Harcourt,Female,Single,0,Not Graduate,Self-Employed,Purchase,370500,105900,3311000.0,12.0,1.0,Approved
TBM3102,23/07/2026,Lagos,Male,Single,0,Graduate,Self-Employed,Purchase,332900,107000,3146000.0,240.0,1.0,Approved
TBM3242,23-Feb-2026,Kano,Male,Married,1,Not Graduate,Self Employed,Working Capital,327200,0,6600000.0,300.0,1.0,Approved
TBM3289,15/03/2026,Kano,Male,Married,0,Not Graduate,Salaried,Purchase,255900,0,1884000.0,360.0,1.0,Approved
TBM3281,16/12/2024,Kano,Female,Married,2,Graduate,,Renovation,575400,0,4927000.0,36.0,1.0,Approved
TBM3200,11/04/2025,Abuja,Female,Married,2,Graduate,Salaried,Purchase,211900,0,3206000.0,360.0,1.0,Rejected
TBM3165,15-Mar-2025,Abuja,Female,Married,0,Not Graduate,Salaried,Construction,247500,0,2850000.0,240.0,1.0,Approved
TBM3173,09-Jan-2025,Abuja,Female,Married,0,Graduate,Salaried,Working Capital,328300,0,2818000.0,180.0,1.0,Approved
TBM3212,2026-04-17,Port Harcourt,Male,Single,1,Not Graduate,Salaried,Purchase,139000,184100,2046000.0,120.0,1.0,Approved
TBM3007,11-Sep-2024,Lagos,Female,Single,0,Graduate,Self-Employed,Purchase,356900,75500,4686000.0,360.0,0.0,Approved
TBM3263,20-Dec-2024,Kano,Male,Single,0,Graduate,Self-Employed,Purchase,187500,0,300000.0,240.0,1.0,Approved
TBM3257,21-Jul-2025,Kano,Male,Married,0,Graduate,Salaried,Construction,181400,0,1494000.0,240.0,,Approved
TBM3223,2025-04-21,PORT HARCOURT,Male,Married,0,Graduate,Self-Employed,Construction,76200,0,300000.0,240.0,1.0,Approved
TBM3380,2025-06-07,Jos,Male,Married,0,Graduate,Salaried,Renovation,277400,45700,3974000.0,240.0,1.0,Approved
TBM3351,25-Mar-2026,Jos,Male,Single,1,Not Graduate,Salaried,Construction,264600,177000,2214000.0,36.0,1.0,Approved
TBM3330,2025-04-25,Ibadan,Female,Single,0,Graduate,Self-Employed,Construction,157700,0,1701000.0,360.0,1.0,Approved
TBM3112,04/09/2024,Lagos,Male,Married,0,Not Graduate,Salaried,Construction,145500,92500,2370000.0,180.0,1.0,Approved
TBM3260,10-May-2026,Kano,Female,Married,2,Graduate,Self-Employed,Construction,289400,0,1489000.0,240.0,1.0,Approved
TBM3210,09/05/2026,Port Harcourt,Male,Married,1,Graduate,Salaried,Construction,209500,110900,5064000.0,360.0,1.0,Rejected
TBM3164,18-Oct-2024,Abuja,Female,Single,0,Graduate,Self-Employed,Purchase,400900,101900,5785000.0,180.0,1.0,Approved
TBM3013,03-Feb-2025,Lagos,Male,Married,0,Graduate,Salaried,Construction,249000,0,2256000.0,120.0,0.0,Rejected
TBM3094,20/02/2026,Lagos,Male,Married,1,Graduate,Self Employed,Renovation,367300,0,2935000.0,360.0,,Approved
TBM3178,2026-07-16,Abuja,Male,Single,0,Graduate,Self Employed,Purchase,176200,0,3313000.0,60.0,1.0,Approved
TBM3337,26-Aug-2024,Ibadan,Male,Married,0,Graduate,Self-Employed,Construction,253300,69500,3211000.0,60.0,1.0,Approved
TBM3221,12/02/2025,PORT HARCOURT,Female,Single,2,Graduate,Salaried,Construction,165200,0,3113000.0,12.0,1.0,Approved
TBM3045,2025-06-09,Lagos,Female,Married,1,Graduate,Salaried,Purchase,249500,0,3060000.0,120.0,1.0,Approved
TBM3244,11-Jul-2025,Kano,Female,Married,1,Graduate,Salaried,Construction,222600,0,3293000.0,12.0,1.0,Approved
TBM3142,2025-09-03,Abuja,Male,Married,0,Graduate,Salaried,Renovation,232800,97900,1884000.0,360.0,1.0,Approved
TBM3180,20-Jan-2026,Abuja,Male,Married,0,Graduate,Salaried,Construction,188900,0,1151000.0,360.0,1.0,Approved
TBM3168,16-Sep-2025,Abuja,Female,Married,0,Graduate,Salaried,Land Acquisition ,111700,0,1547000.0,360.0,1.0,Approved
TBM3005,23-Mar-2025,Lagos,Male,Married,1,Not Graduate,Self-Employed,Renovation,673600,0,5388000.0,180.0,1.0,Rejected
TBM3003,10-Apr-2025,Lagos,Male,Married,1,Graduate,Salaried,Land Acquisition,219300,0,2109000.0,240.0,0.0,Approved
TBM3293,2026-05-21,Kano,Female,Single,1,Not Graduate,Salaried,Working Capital,175300,0,1600000.0,300.0,1.0,Approved
TBM3163,2025-05-14,Abuja,Male,Married,1,graduate,Salaried,Construction,331900,220800,2446000.0,180.0,1.0,Approved
TBM3213,24/03/2026,Port Harcourt,,Married,0,Not Graduate,Salaried,Purchase,147800,0,300000.0,120.0,1.0,Approved
TBM3197,2024-09-06,Abuja,Male,Single,0,graduate,Self-Employed,Construction,71100,0,392000.0,36.0,0.0,Approved
TBM3302,16-Aug-2024,Ibadan,Male,Married,2,Not Graduate,Salaried,Purchase,105600,43700,300000.0,360.0,1.0,Approved
TBM3192,15-Feb-2025,Abuja,Male,Single,0,Graduate,Salaried,Purchase,149000,0,1589000.0,60.0,1.0,Approved
TBM3265,03/04/2026,Kano,Male,Married,0,Not Graduate,Salaried,Land Acquisition,159500,0,3417000.0,240.0,1.0,Rejected
TBM3248,2024-09-28,Kano,,Single,0,Not Graduate,Self-Employed,Renovation ,224400,180900,3303000.0,240.0,1.0,Approved
TBM3270,07/11/2025,Kano,Male,Single,2,Not Graduate,,Construction,354800,66000,2828000.0,0.0,1.0,Approved
TBM3033,2026-04-08,Lagos,,Married,1,Graduate,Self-Employed,Land Acquisition,126400,0,1752000.0,240.0,,Approved
TBM3191,24/06/2025,Abuja,Male,Married,1,Graduate,Salaried,Land Acquisition,185700,118700,1460000.0,180.0,0.0,Approved
TBM3138,10-Jun-2026,Abuja,Male,Single,0,Graduate,Salaried,Working Capital,230900,63600,1344000.0,180.0,,Approved
TBM3205,2025-11-08,Port  Harcourt,Male,Single,0,Graduate,Self Employed,Construction,201800,57900,2363000.0,300.0,1.0,Approved
TBM3107,25-Jul-2025,Lagos,,Single,0,Graduate,Salaried,Working Capital,279200,0,2772000.0,300.0,,Approved
TBM3313,08-Dec-2024,Ibadan,Male,Married,0,Graduate,Salaried,Construction,247800,103100,1900000.0,0.0,1.0,Approved
TBM3385,2024-12-07,Jos,Female,Single,3+,Graduate,Salaried,Construction,182700,117000,2041000.0,120.0,1.0,Approved
TBM3379,25/05/2026,Jos,Female,Single,1,Graduate,Salaried,Construction,236200,0,2254000.0,36.0,1.0,Rejected
TBM3218,17-Feb-2026,port harcourt,Male,Married,1,Graduate,Self-Employed,Construction,221800,55500,2612000.0,120.0,1.0,Approved
TBM3116,2025-03-09,Lagos,Male,Married,1,Not Graduate,Salaried,Land Acquisition,236900,46100,300000.0,360.0,1.0,Approved
TBM3025,2024-09-02,Lagos,,Married,2,Graduate,Salaried,Construction,111500,0,2122000.0,240.0,0.0,Approved
TBM3044,02-Oct-2025,Lagos,Male,S,0,Not Graduate,Salaried,Purchase,233500,0,1535000.0,300.0,0.0,Approved
TBM3382,2026-06-20,jos,Male,Single,1,Not Graduate,Self-Employed,Construction,205100,59700,2092000.0,240.0,1.0,Rejected
TBM3252,14-Aug-2025,Kano,Female,Married,1,Not Graduate,Salaried,Purchase,112400,0,2671000.0,180.0,0.0,Approved
TBM3384,10-Jul-2026,Jos,Female,Married,2,Graduate,Self-Employed,Construction,162300,185300,5800000.0,360.0,0.0,Rejected
TBM3282,2026-07-11,Kano,,Married,1,Not Graduate,Self-Employed,Purchase,261600,0,3712000.0,240.0,1.0,Approved
TBM3083,2026-06-02,Lagos,Male,Single,0,Graduate,Salaried,Working Capital ,196500,76200,2760000.0,240.0,,Rejected
TBM3357,22-Apr-2025,JOS,Male,Married,1,Not Graduate,Salaried,Purchase,226100,0,2846000.0,300.0,1.0,Approved
TBM3125,2026-06-15,Lagos,Female,Married,0,Graduate,Self Employed,Construction,171900,0,300000.0,240.0,1.0,Approved
TBM3215,2024-10-14,Port  Harcourt,Female,Single,0,Not Graduate,Self-Employed,Construction,323600,0,3667000.0,300.0,1.0,Approved
TBM3102,23/07/2026,Lagos,Male,Single,0,Graduate,Self-Employed,Purchase,332900,107000,3146000.0,240.0,1.0,Approved
TBM3345,11-May-2026,Jos,Female,Married,1,Graduate,Salaried,Construction,174200,0,300000.0,60.0,1.0,Approved
TBM3294,25/07/2026,Kano,Female,Married,2,Not Graduate,Salaried,Renovation,257900,139700,300000.0,120.0,1.0,Rejected
TBM3246,21/04/2025,Kano,Female,Married,0,Graduate,Salaried,Construction,244700,0,2127000.0,240.0,1.0,Approved
TBM3239,2025-08-14,port harcourt,Male,Married,0,graduate,Salaried,Working Capital,191600,191300,3005000.0,240.0,,Rejected
TBM3027,07-Dec-2025,Lagos,Female,Married,0,Graduate,Salaried,Construction,166500,0,2078000.0,240.0,1.0,Approved
TBM3214,2025-06-21,Port Harcourt,Male,Single,1,Graduate,Salaried,Renovation,233800,78300,300000.0,120.0,0.0,Approved
TBM3113,16-May-2026,Lagos,Male,Married,3+,Graduate,Salaried,Land Acquisition,239300,68400,300000.0,36.0,1.0,Approved
TBM3336,25-Sep-2024,Ibadan,Female,Single,1,Graduate,Salaried,Construction,116100,0,399000.0,180.0,1.0,Approved
TBM3206,05-May-2026,Port Harcourt,Male,Single,2,Not Graduate,Salaried,Land Acquisition,209700,0,2609000.0,12.0,0.0,Rejected
TBM3028,26-Sep-2025,Lagos,Male,Married,0,Not Graduate,Self-Employed,Working Capital,368300,81100,3868000.0,240.0,0.0,Rejected
TBM3231,2025-05-14,Port Harcourt,Male,Married,0,Graduate,Salaried,Construction,170100,0,1744000.0,120.0,,Approved
TBM3208,25/06/2026,Port Harcourt,Female,Single,2,Graduate,Salaried,Construction,201000,0,3347000.0,240.0,1.0,Approved
TBM3111,2026-06-07,Lagos,Female,Married,2,Graduate,Salaried,Construction,209800,119800,3659000.0,300.0,1.0,Approved
TBM3366,24-Jun-2026,Jos,Female,Married,1,Graduate,Salaried,Land Acquisition,189900,89800,2637000.0,36.0,1.0,Approved
TBM3156,23-Apr-2025,Abuja,Male,Single,2,graduate,Salaried,Land Acquisition,367800,39700,3846000.0,360.0,,Approved
TBM3327,28-Jun-2026,Ibadan,Male,Single,0,Not Graduate,Salaried,Construction,218600,77400,1688000.0,120.0,,Rejected
TBM3057,09-Jan-2025,Lagos,Male,Married,1,Graduate,Salaried,Purchase,168300,0,1204000.0,300.0,1.0,Approved
TBM3149,2025-11-26,Abuja,Female,Married,0,Not Graduate,Self-Employed,Working Capital,136400,0,2656000.0,120.0,1.0,Approved
TBM3088,08/03/2026,Lagos,Female,Single,2,Graduate,Self-Employed,Purchase,263900,0,2254000.0,180.0,1.0,Approved
TBM3091,19/12/2025,Lagos,Male,Married,0,Graduate,Salaried,Purchase,123700,26300,300000.0,36.0,0.0,Approved
TBM3098,02/07/2026,Lagos,Male,Married,0,Graduate,Salaried,Construction,260500,49900,2690000.0,240.0,1.0,Approved
TBM3059,26/04/2025,Lagos,Male,Single,1,Graduate,Salaried,Purchase,201200,27700,3775000.0,12.0,1.0,Approved
TBM3117,26-May-2026,Lagos,Female,Married,0,Graduate,Salaried,Construction,152000,0,1910000.0,180.0,1.0,Approved
TBM3070,2025-04-26,Lagos,Male,Married,1,Graduate,Self-Employed,Working Capital,324600,38900,1405000.0,360.0,1.0,Approved
TBM3235,2025-11-26,Port Harcourt,Female,Single,0,Graduate,Salaried,Purchase,95200,0,2208000.0,60.0,,Rejected
TBM3354,23/08/2024,Jos,Male,Married,2,Graduate,Salaried,Working Capital,183500,0,2602000.0,300.0,0.0,Approved
TBM3383,2025-11-11,Jos,Male,Single,2,Not Graduate,,Purchase,378700,108700,2316000.0,240.0,1.0,Approved
TBM3363,21/07/2026,Jos,Male,Single,2,Graduate,Salaried,Construction,85000,80300,2877000.0,300.0,0.0,Rejected
TBM3287,2025-03-26,Kano,Male,Single,0,Graduate,Salaried,Purchase,249700,0,1561000.0,240.0,1.0,Approved
TBM3167,03-Jun-2025,Abuja,Female,Married,0,Graduate,Salaried,Construction,254700,60400,4257000.0,240.0,1.0,Approved
TBM3276,02/06/2026,Kano,Female,Married,0,Graduate,Salaried,Construction,228000,81500,4787000.0,240.0,1.0,Approved
TBM3384,10-Jul-2026,Jos,Female,Married,2,Graduate,Self-Employed,Construction,162300,185300,5800000.0,360.0,0.0,Rejected
TBM3041,2024-09-21,Lagos,Female,M,2,Not Graduate,Self-Employed,Purchase,385700,70100,4568000.0,180.0,1.0,Approved
TBM3092,2026-06-06,Lagos,Male,Married,1,Not Graduate,Salaried,Construction,-241600,0,1435000.0,240.0,0.0,Rejected
TBM3135,2026-06-19,Abuja,Female,Married,0,Graduate,Salaried,Purchase,179600,189700,2714000.0,300.0,1.0,Approved
TBM3307,13/01/2025,Ibadan,Female,Single,2,Not Graduate,Salaried,Construction,137800,84400,2312000.0,300.0,0.0,Approved
TBM3103,2025-08-12,Lagos,Female,Single,2,Graduate,Salaried,Renovation,200200,161500,1382000.0,240.0,1.0,Approved
TBM3261,26-Mar-2026,Kano,Female,Married,0,Not Graduate,Self Employed,Construction,129200,0,1180000.0,120.0,1.0,Rejected
TBM3236,2024-08-11,port harcourt,Male,Single,0,Not Graduate,Salaried,Purchase,248200,0,5250000.0,120.0,0.0,Rejected
TBM3171,17-Apr-2026,Abuja,Male,Married,0,Graduate,Salaried,Land Acquisition,-168200,49700,901000.0,240.0,1.0,Approved
TBM3352,2026-07-19,Jos,Female,Single,1,Graduate,Salaried,Construction,203800,0,1559000.0,240.0,1.0,Approved
TBM3375,08/07/2025,Jos,Male,Single,0,Graduate,Salaried,Land Acquisition,224500,58100,1129000.0,240.0,1.0,Approved
TBM3378,20-Oct-2024,Jos,Male,M,0,Graduate,Salaried,Renovation,223600,0,1711000.0,180.0,1.0,Approved
TBM3360,2026-05-24,Jos,Male,Married,1,Graduate,Salaried,Purchase ,260000,101900,2977000.0,360.0,1.0,Approved
TBM3346,2025-09-03,Jos,Male,Married,3+,Not Graduate,Self-Employed,Construction,240500,75400,2463000.0,120.0,1.0,Approved
TBM3073,26/10/2024,Lagos,Female,Single,0,Graduate,Self-Employed,Renovation,440300,0,4310000.0,240.0,0.0,Rejected
TBM3121,14/06/2025,Lagos,Male,Single,0,Graduate,Salaried,Land Acquisition,280600,137300,3928000.0,36.0,1.0,Approved
TBM3077,16/08/2025,Lagos,Female,Married,1,Not Graduate,Salaried,Land Acquisition,212400,0,2995000.0,60.0,0.0,Rejected
TBM3325,16-May-2026,Ibadan,Male,Married,1,Graduate,Salaried,Construction,156200,0,1769000.0,120.0,0.0,Rejected
TBM3308,2026-01-26,Ibadan,Male,Single,0,Not Graduate,Self-Employed,Purchase ,155700,0,1291000.0,240.0,1.0,Approved
TBM3043,2026-01-06,Lagos,Male,Single,1,Not Graduate,Self-Employed,Construction,342600,0,5178000.0,120.0,1.0,Approved
TBM3090,19-May-2026,Lagos,Male,Single,1,Graduate,Self-Employed,Purchase,248400,137600,2936000.0,120.0,,Rejected
TBM3034,11-Jun-2026,Lagos,Male,Married,3+,Graduate,Salaried,Land Acquisition,254400,0,3758000.0,360.0,1.0,Approved
TBM3259,2025-06-18,Kano,Male,Married,0,Not Graduate,Self-Employed,Purchase,117300,0,2856000.0,120.0,0.0,Rejected
TBM3157,06/04/2026,Abuja,Male,Married,0,Not Graduate,Salaried,Renovation,318700,0,2101000.0,180.0,1.0,Rejected
TBM3175,2026-03-19,Abuja,Male,Married,0,Not Graduate,Salaried,Renovation,206200,0,1460000.0,180.0,1.0,Approved
TBM3294,25/07/2026,Kano,Female,Married,2,Not Graduate,Salaried,Renovation,257900,139700,300000.0,120.0,1.0,Rejected
TBM3359,05/09/2025,Jos,Male,Single,2,Graduate,Salaried,Renovation,252500,0,3959000.0,360.0,1.0,Approved
TBM3201,22-Dec-2025,Port Harcourt,,Married,1,Graduate,Salaried,Purchase,126500,0,2430000.0,240.0,1.0,Approved
TBM3273,07-May-2026,Kano,Male,Married,2,Not Graduate,Salaried,Purchase,123300,116100,1954000.0,240.0,1.0,Approved
TBM3055,2026-04-10,Lagos,Female,Married,1,Graduate,Self-Employed,Renovation,108500,0,1895000.0,120.0,1.0,Approved
TBM3317,2026-01-19,Ibadan,Female,Married,3+,Graduate,Self-Employed,Purchase,159700,0,3083000.0,360.0,1.0,Approved
TBM3159,24-Feb-2026,Abuja,Male,Married,0,Graduate,Self-Employed,Purchase,87600,0,1695000.0,300.0,1.0,Approved
TBM3067,04/04/2026,Lagos,Female,Married,3+,Graduate,Salaried,Construction,365300,0,3461000.0,180.0,0.0,Approved
TBM3351,25-Mar-2026,Jos,Male,Single,1,Not Graduate,Salaried,Construction,264600,177000,2214000.0,36.0,1.0,Approved
TBM3310,19/03/2025,Ibadan,Female,Married,1,Graduate,Salaried,Working Capital,174200,0,1236000.0,60.0,0.0,Approved
TBM3104,2026-03-14,Lagos,Female,Married,2,Graduate,Salaried,Purchase,274900,62900,3701000.0,360.0,1.0,Approved
TBM3347,18/10/2025,Jos,Male,Married,0,Graduate,,Working Capital,187900,0,2814000.0,300.0,1.0,Approved
TBM3120,17-Sep-2025,Lagos,,Married,0,Not Graduate,Self Employed,Construction,177200,156100,4746000.0,120.0,,Approved
TBM3361,13-Nov-2025,Jos,Male,Married,3+,Graduate,Salaried,Purchase,149100,0,759000.0,12.0,1.0,Rejected
TBM3066,13-Jul-2026,Lagos,Female,Single,1,Not Graduate,Self-Employed,Renovation,818100,154400,8654000.0,360.0,1.0,Rejected
