title,description,type,question,options,answer,difficulty
loading and inspecting data with pandas,Interpreting dtypes,multiple choice,A column named Price has dtype float64 while Branch has dtype object. What does this most likely mean?,Price contains numbers (possibly with missing values) and Branch contains text|Price is broken and Branch is correct|object always means the column is empty|float64 means the column contains dates,Price contains numbers (possibly with missing values) and Branch contains text,intermediate
loading and inspecting data with pandas,Interpreting isna().sum(),multiple choice,Running df.isna().sum() shows Price with a value of 4. What does the 4 mean?,There are 4 unique prices in the dataset|4 rows are missing a value in the Price column|The Price column has 4 decimal places|4 rows were deleted from the DataFrame,4 rows are missing a value in the Price column,intermediate
loading and inspecting data with pandas,Series vs single-column DataFrame,True or False,"True or False: df[""Sales""] and df[[""Sales""]] always return exactly the same type of object.",True|False,False,intermediate
loading and inspecting data with pandas,Series vs DataFrame selection,multiple choice,"What is the key difference between df[""Sales""] and df[[""Sales"", ""Profit""]]?","There is no difference, both return a Series|df[""Sales""] returns a Series, df[[""Sales"",""Profit""]] returns a DataFrame|df[""Sales""] only works on numeric columns|df[[""Sales"",""Profit""]] deletes all other columns permanently","df[""Sales""] returns a Series, df[[""Sales"",""Profit""]] returns a DataFrame",intermediate
loading and inspecting data with pandas,Correct Boolean filtering syntax,multiple choice,You want every transaction where Sales is above 100000. Which is correct?,"df[df[""Sales""] > 100000]|df[""Sales"" > 100000]|df.filter(Sales > 100000)|df[Sales > 100000]","df[df[""Sales""] > 100000]",advanced
loading and inspecting data with pandas,Combining conditions with parentheses,multiple choice,You need every transaction from the North West region where Price is missing. Which expression correctly combines both conditions?,"df[df[""Region""] == ""North West"" and df[""Price""].isna()]|df[(df[""Region""] == ""North West"") & (df[""Price""].isna())]|df[df[""Region""] == ""North West"" & df[""Price""].isna()]|df[""Region"" == ""North West"", ""Price"".isna()]","df[(df[""Region""] == ""North West"") & (df[""Price""].isna())]",advanced
loading and inspecting data with pandas,describe() only summarises numeric columns,True or False,"True or False: running df.describe() will include the Branch and Product columns in its output with meaningful summary statistics, since they are part of the DataFrame.",True|False,False,advanced
loading and inspecting data with pandas,Default header behaviour of read_csv,True or False,"True or False: if a CSV file's first row contains the column names, pd.read_csv() will automatically use that row as the header without extra arguments.",True|False,True,advanced
data manipulation with pandas and numpy,Equality vs assignment,multiple choice,Which symbol correctly checks whether two values are equal when filtering a DataFrame?,=|==|~|:=,==,beginner
data manipulation with pandas and numpy,ascending=False meaning,multiple choice,"What does df.sort_values(""Sales"", ascending=False) do?",Sorts Sales from smallest to largest|Sorts Sales from largest to smallest|Removes the Sales column|Groups rows by Sales,Sorts Sales from largest to smallest,beginner
data manipulation with pandas and numpy,groupby as PivotTable equivalent,True or False,"True or False: df.groupby(""Region"")[""Sales""].sum() is the pandas equivalent of building an Excel PivotTable with Region in Rows and Sum of Sales in Values.",True|False,True,beginner
data manipulation with pandas and numpy,count() basic aggregation,multiple choice,Which function would you use to find the total number of transactions recorded in a column?,"df[""Sales""].count()|df[""Sales""].total()|df[""Sales""].amount()|df[""Sales""].size_of()","df[""Sales""].count()",beginner
data manipulation with pandas and numpy,Creating a calculated column,multiple choice,What is the correct way to create a new column called Profit that equals Sales minus Cost?,"df[""Profit""] == df[""Sales""] - df[""Cost""]|df[""Profit""] = df[""Sales""] - df[""Cost""]|df.Profit = ""Sales - Cost""|Profit = df[""Sales""] - df[""Cost""]","df[""Profit""] = df[""Sales""] - df[""Cost""]",intermediate
data manipulation with pandas and numpy,.agg() with a list,multiple choice,"df.groupby(""Region"")[""Sales""].agg([""sum"",""mean"",""count""]) is most useful because it:","Deletes rows with missing Sales values|Returns three separate DataFrames|Returns one table with several aggregations calculated at once, per group|Only works on the Region column","Returns one table with several aggregations calculated at once, per group",intermediate
data manipulation with pandas and numpy,np.where conditional logic,multiple choice,"A trainee writes: import numpy as np, then df[""Sales_Tier""] = np.where(df[""Sales""] > 100000, ""High"", ""Low""). What does this produce?","A new column that is ""High"" when Sales is above 100000 and ""Low"" otherwise|An error, because np.where only works on numbers|A single value showing the average tier|A new column that deletes all ""Low"" rows","A new column that is ""High"" when Sales is above 100000 and ""Low"" otherwise",intermediate
data manipulation with pandas and numpy,NaN propagation through arithmetic,True or False,"True or False: if a column used in a calculation contains a missing value (NaN), the calculated result for that row will also be NaN.",True|False,True,intermediate
data manipulation with pandas and numpy,Sorting in the wrong direction,multiple choice,"A trainee wants to sort a DataFrame so the largest Cost appears first, but writes df.sort_values(""Cost"", ascending=True). What is wrong?","Nothing, this is correct|ascending=True sorts smallest to largest, the trainee needs ascending=False|sort_values() cannot be used on Cost|The column name should be in lowercase","ascending=True sorts smallest to largest, the trainee needs ascending=False",intermediate
data manipulation with pandas and numpy,Series vs DataFrame sort_values mistake,multiple choice,"A trainee runs df.groupby(""Region"")[""Sales""].sum().sort_values(""Sales"", ascending=False) and gets a TypeError. What is the most likely cause?","""Region"" is spelled incorrectly|groupby(""Region"")[""Sales""].sum() already returns a single-column Series, which has no column named ""Sales"" to sort by|sort_values() does not accept ascending as an argument|Sales must be converted to a string first","groupby(""Region"")[""Sales""].sum() already returns a single-column Series, which has no column named ""Sales"" to sort by",advanced
data manipulation with pandas and numpy,Choosing the correct grouping column,multiple choice,"To answer ""what is the average Sales per Branch, highest first"", which is the correct pandas approach?","df.sort_values(""Branch"")|df.groupby(""Branch"")[""Sales""].mean().sort_values(ascending=False)|df[""Sales""].mean()|df.groupby(""Sales"")[""Branch""].mean()","df.groupby(""Branch"")[""Sales""].mean().sort_values(ascending=False)",advanced
data manipulation with pandas and numpy,.all() verification logic,True or False,"True or False: verifying a calculated column by checking (df[""Profit_check""] == df[""Profit""]).all() will return True only if every single row matches exactly.",True|False,True,advanced
data manipulation with pandas and numpy,forgetting parentheses,multiple choice,What happens if you write df.describe without the parentheses?,"It runs describe() automatically|It returns a reference to the method itself, not a result|It raises a SyntaxError immediately|It summarises only the Branch column","It returns a reference to the method itself, not a result",advanced
ai-assisted coding,What AI can do,multiple choice,Which of the following is something AI can reliably help an analyst do?,Replace the need to verify the analyst's own output|Generate a first draft of pandas code from a clear question|Guarantee that generated code is always correct|Make the final analytical judgement on a business question,Generate a first draft of pandas code from a clear question,beginner
ai-assisted coding,Explain It Back rule,multiple choice,"According to the course rule, what must a trainee be able to do before submitting AI-generated code?","Nothing extra, if the code runs it can be submitted|Explain the code, line by line|Delete all comments from the code|Rename all the variables","Explain the code, line by line",beginner
ai-assisted coding,Weak vs strong prompts,True or False,"True or False: ""Write pandas code."" is an example of a strong, well-formed prompt.",True|False,False,beginner
ai-assisted coding,Privacy and responsible AI use,multiple choice,Which of these should you avoid pasting into an AI tool?,"A sample dataset with fictional business names|A column list like Branch, Region, Sales|An API key or password|A general pandas question",An API key or password,beginner
ai-assisted coding,Effective AI-assisted debugging,multiple choice,A trainee's code produces an error. Which approach best follows this module's debugging guidance?,"Tell the AI ""it doesn't work"" and wait for a fix|Paste the full error message and the relevant code, then describe the intended goal|Delete the code and start over without AI|Ignore the error if the notebook still runs the next cell","Paste the full error message and the relevant code, then describe the intended goal",intermediate
ai-assisted coding,Why strong prompts work better,multiple choice,Which best describes why a strong prompt produces better pandas code than a weak one?,"Strong prompts are always shorter|Strong prompts give the AI the dataset structure, column names, the analytical goal, expected output and constraints, reducing guesswork|Strong prompts avoid using any column names|Strong prompts remove the need to run the code afterwards","Strong prompts give the AI the dataset structure, column names, the analytical goal, expected output and constraints, reducing guesswork",intermediate
ai-assisted coding,Verification checklist recall,multiple choice,Which item is NOT part of the verification checklist taught in this module?,Does the code run?|Does the output make sense?|Can I explain every line?|Did the AI apologise for any mistakes?,Did the AI apologise for any mistakes?,intermediate
ai-assisted coding,Hallucinations can run without error,True or False,"True or False: if AI-generated code runs without any error, it is safe to assume the analysis is correct.",True|False,False,intermediate
ai-assisted coding,Workflow step order,multiple choice,"In the AI-assisted coding workflow, which step comes immediately after ""Generate code""?",Submit|Read code|Define problem|Write prompt,Read code,intermediate
ai-assisted coding,silent logical error,multiple choice,"An AI-generated line calculates an ""average profit margin"" using df[""Margin_%""].sum() instead of .mean(), producing a result of 300%. What is the best way this mistake is caught?","The code raises a SyntaxError|The code runs without error, but checking whether an average percentage above 100% makes sense reveals the mistake|Pandas automatically corrects sum() to mean()|The mistake cannot be caught without asking the AI directly","The code runs without error, but checking whether an average percentage above 100% makes sense reveals the mistake",advanced
ai-assisted coding,Consequences of skipping verification steps,multiple choice,"In the ""good"" AI-assisted analysis workflow (Define → Prompt → Review → Run → Verify → Explain → Submit), what is the main risk of the ""bad"" workflow (Ask AI → Copy code → Submit)?",It takes longer to complete|Errors and wrong assumptions can ship silently inside output that looks correct|It uses more electricity|It does not allow the use of pandas,Errors and wrong assumptions can ship silently inside output that looks correct,advanced
ai-assisted coding,unexplained lines rule,True or False,"True or False: the ""Explain It Back"" paired activity is considered complete even if one partner cannot explain a specific line, as long as the code produces the correct output.",True|False,False,advanced
